result_set_id,user_id,raw_query,n_hits,hit_listing_ids,ground_truth_listing_ids,live_pred_listing_ids
rs_100041,usr_1007,căn hộ Phường Phú Thuận giá mềm cho vợ chồng mới cưới,3,45227501;45133806;45202945,45227501;45133806;45247231;45202945;44048727;45211123;44984592;43284841;44463660;45245637,45059343;45227501;45202945;43489295;45246430;45133806;45232873;45038070;45246753
rs_100042,usr_1007,"cần mua căn hộ 2 phòng ngủ ở Phường Phú Thuận để ở, rẻ một chút",2,45202945;45133822,45202945;43489295;45133806;45133822;44404628;45228435;45043852;43652465;45217453;44463660,45059343;45202945;45202949;45246430;45133822;45232873;45227501;45246753;45038070
rs_100043,usr_1007,căn hộ Phường Phú Thuận giá tốt cho gia đình,2,45227501;45202945,45227501;45202949;45202945;43489295;44404628;43492362;44288363;44860566;41003332;44048727,45232873;45059343;44342167;45202954;45246430;45133822;45202945;45227501;45038070
rs_100044,usr_1007,"cần mua căn hộ 2 phòng ngủ ở Phường Phú Thuận để ở, rẻ một chút",1,45246430,45246430;45246753;44781956;44350831;44073845;44632413;44697172;44034581;45162231;44880023,45232873;45059343;45133822;45202949;45202954;44342167;45227501;45246430;45038070
rs_100045,usr_1007,"cần mua căn hộ 2 phòng ngủ ở Phường Phú Thuận để ở, giá mềm",1,45202954,45202949;45202954;45202945;43845012;45084822;44350831;43284831;44034581;45217453;44880200,45232873;45227501;44342167;45202954;45059343;45055545;45133822;45038070;45247231
rs_100046,usr_1007,căn hộ Phường Phú Thuận rẻ một chút cho vợ chồng mới cưới,2,45059343;45246430,45059343;45246753;45246430;45247231;43489295;45055545;45217453;44530340;45023942;43725380,45232873;45059343;45202954;45202949;45133822;44342167;45246430;45227501;45038070
rs_100047,usr_1008,căn hộ Xã Tân Nhựt bình dân cho vợ chồng mới cưới,0,,44843875;44845494;44753361;45217838;44531634;45235813;45229457;44796007;44957828;42182617,
rs_100048,usr_1008,tìm căn hộ Xã Tân Nhựt giá rẻ gần trường học,0,,45010170;44843875;44863961;45262776;45236710;44904039;45005790;43381561;45266104;44404468,
rs_100049,usr_1008,căn hộ Xã Tân Nhựt rẻ một chút cho vợ chồng mới cưới,0,,44948688;45017298;44815299;44845848;44531634;44422861;44904039;43381561;45153043;44456711,
rs_100050,usr_1008,căn hộ Xã Tân Nhựt bình dân cho gia đình,0,,45210229;44753361;44849133;45236270;45217838;44531634;45235813;45236710;44848669;44404468,
rs_100051,usr_1008,căn hộ Xã Tân Nhựt giá mềm cho gia đình,0,,45194899;44843875;45211193;45236710;44957828;44620331;42182617;44904039;43926137;45005790,
rs_100052,usr_1008,tìm căn hộ Xã Tân Nhựt rẻ một chút gần trường học,0,,44897529;44783081;45262776;45236710;45179775;45203517;45235201;44957970;44422861;44404468,
rs_100053,usr_1009,"nhà ở Xã Trừ Văn Thố thoáng mát 3pn, giá hợp lý",0,,44620331;45028627;45075295;44945779;45200975;44864335;44897223;45217838;45210229;45093376,45204859;45215996;45221253;44456711
rs_100054,usr_1009,"nhà ở Xã Trừ Văn Thố thoáng mát 2pn, rẻ một chút",0,,45005790;42182617;44620331;45200975;44694604;45162235;44531634;45017298;45236710;45194899,45204859;45221253;45215996;44456711
rs_100055,usr_1009,"nhà ở Xã Trừ Văn Thố thoáng mát 3pn, vị trí đẹp",0,,43381561;45145693;45207948;44753361;45229457;45017298;45217838;45102993;45064811;44957828,45204859;45215996;45221253;44456711
rs_100056,usr_1009,"cần mua nhà đất 2 phòng ngủ ở Phường Bình Hưng Hòa để ở, giá mềm",0,,45115150;45200975;45207948;45211193;44948688;45184357;45081886;44957970;45153043;44229900,45204859;45221253;45215996
rs_100057,usr_1009,tìm nhà đất Phường Phú Thuận bình dân gần trường học,0,,45075295;45188401;44843875;44753361;45210229;45179775;44620727;45102993;45211549;43903476,45221253;45215996;45204859
rs_100058,usr_1009,nhà đất Phường Bảy Hiền giá mềm cho vợ chồng mới cưới,2,45204859;45221253,45204859;45221253;44694604;44960399;45236710;44845494;44897529;45210229;45201565;44957970,45204859;45221253;45215996
rs_100059,usr_1009,tìm căn hộ Xã Tân Nhựt rẻ một chút gần trường học,0,,44845494;44948688;45194899;44843875;44845848;45210229;45077780;45102993;44094490;44762845,44456711
rs_100060,usr_1010,căn hộ Phường Đông Hưng Thuận ổn định cho thuê gần metro,1,45153043,45153043;43779678;44482077;44046077;44935352;45144378;44137008;44073845;45209742;43537623,45235016;45153043;45234641;45084852;45179775;45019830
rs_100061,usr_1010,tìm phòng căn hộ ở Phường Đông Hưng Thuận bình dân,3,45186848;45084852;45179775,45186848;45084852;45093850;45179775;44073845;44834862;44046077;44482077;43725380;44596035,45235016;45084852;45186848;45153043;45019830;45179775
rs_100062,usr_1010,"cần thuê căn hộ Phường Đông Hưng Thuận full nội thất, tầm trung",0,,45153043;45186848;45263200;45070876;45137354;44073845;41003332;44404628;43537623;44596035,45070787;45234641;45084852
rs_100063,usr_1010,thuê căn hộ Phường An Khánh 2 phòng ngủ rẻ một chút,0,,45040477;44073845;44893598;44935352;45263200;45228435;45110563;43572439;45217453;43537036,45186848;45084852;45235016;45179775;45153043;45019830
rs_100064,usr_1010,căn hộ Phường Thạnh Mỹ Tây giá mềm cho thuê gần metro,0,,45110563;43161489;43652465;44404628;45212565;44137008;45040477;45070876;45195893;45040570,45235016;45084852;45153043;45070787;45179775;45019830
rs_100065,usr_1010,tìm phòng căn hộ ở Phường Đông Hưng Thuận ổn định,2,45019830;45084852,45019830;45084852;45050074;43779678;45101930;45144378;45084822;41003332;44834862;43161489,45235016;45084852;45186848;45153043;45019830;45179775
rs_100066,usr_1011,căn hộ Phường Long Bình vị trí đẹp cho thuê gần metro,2,44034581;44048727,44034581;43284831;44523302;45210970;43496938;44048727;43644920;43900366;44847526;44974281,43825788;44193699;44755067;43874379;44034581;43847718;44283417;43960856;44048727;45084822
rs_100067,usr_1011,căn hộ Phường Long Bình sang trọng cho thuê gần metro,1,43960856,43960856;45065899;44400867;43779678;45023942;45149575;45212694;45228435;43928437;45264351,43825788;44755067;44193699;44034581;43874379;43847718;43960856;44283417;44048727;45084822
rs_100068,usr_1011,"cần thuê căn hộ Phường Long Bình full nội thất, vị trí đẹp",2,44400867;43849134,44755067;44661735;45012434;44048727;45084822;44400867;45011469;43849134;44404628;44464018,43825788;44077565;45088647;43716508;43849134;45173212;44400867
rs_100069,usr_1011,tìm phòng căn hộ ở Phường Long Bình vị trí đẹp,3,44193699;44048727;44404628,44193699;44475272;44077565;43496938;44048727;43716508;44404628;42513639;44073845;44761704,43825788;44193699;44755067;43960856;44048727;43874379;44404628;45084822;43847718;44585453
rs_100070,usr_1011,"cần thuê căn hộ Phường Long Bình full nội thất, khu nhà giàu",1,43716508,44755067;45091488;43284851;44469361;42599412;44091096;43486829;45065899;43716508;43569738,43825788;44077565;45088647;43716508;45173212;43849134;44400867
rs_100071,usr_1012,"cần thuê căn hộ Phường Phú Thuận full nội thất, ổn định",1,44781956,43489295;45231927;44887265;44186994;44596902;44781956;44077565;45228435;44907937;45211536,45151230;45100589;45227501;45038070;45133806;45059343;44342167;45133822;45055545;44781956
rs_100072,usr_1012,căn hộ Phường Phú Thuận rẻ một chút cho thuê gần metro,1,45227501,45227501;44942764;43158878;43136703;45028627;45059343;44860566;45200981;44907937;45162231,45246753;45247231;45232873;44781956;43489295;45227501;45202949;45133822;45042196;45038070
rs_100073,usr_1012,tìm phòng nhà đất ở Phường Phú Thuận rẻ một chút,2,45143212;44574182,45143212;44574182;44281973;45105255;45088537;43284831;44632413;44342167;43993246;44860566,44957857;45264249;45082473;45143212;44927379;44854998;43248160;45231927;44574182;45157388
rs_100074,usr_1012,tìm phòng căn hộ ở Phường Phú Thuận rẻ một chút,1,45227501,45227501;44942764;43489295;44887265;44621409;44632413;45212694;44077565;45201231;44034581,45232873;45059343;45202954;45100589;45133822;45151230;45042196;45055545;45227501;45246430
rs_100075,usr_1012,tìm phòng nhà đất ở Phường Phú Thuận giá mềm,0,,43136703;45202949;44596902;44632413;44073845;44077565;45043852;45202954;43993246;44860566,45082473;45264249;44957857;44223267;45143212;43248160;44854998;45231927;44574182;41753098
rs_100076,usr_1012,nhà đất Phường Phú Thuận ổn định cho thuê gần metro,2,44887265;45207627,44854998;44186994;44887265;45207627;42962075;45075295;45202949;45133822;44781956;45133806,45231927;45260718;41753098;44887265;45207627;45082473;45264249;44281973;44643381;45222094
rs_100078,usr_1013,thuê nhà đất Phường Long Bình 0 phòng ngủ sang trọng,0,,43644920;44073845;44632413;43537623;45228435;43874379;43478669;43537036;45266104;45112600,44707165;45166701;44544650;45144378;45139954;44177616;45007922;45118111;44953993;45148338
rs_100079,usr_1013,tìm phòng nhà đất ở Phường Long Bình vị trí đẹp,0,,43644920;44077565;44847526;43779678;44755067;43874379;43725380;44404468;43825788;44796007,44707165;44544650;45144378;45166701;45139954;45118111;45177579;44177616;45007922;45186485
rs_100080,usr_1013,căn hộ Phường Long Bình sang trọng cho thuê gần metro,0,,44077565;43284831;44632413;44048727;45084822;43725380;44046077;43478669;43537036;45235201,44143992;44130737;44238591;43845012;43825788;45222670;44755067;45266104;45222670;44463660
rs_100081,usr_1013,thuê căn hộ Phường Long Bình 3 phòng ngủ khu nhà giàu,2,44193699;44046077,44193699;43537623;44288363;44283417;43845012;44350831;44046077;45266104;44796007;43716508,44143992;43825788;44755067;44046077;44130737;44193699;44238591;45084822;43960856;44048727
rs_100082,usr_1014,"cần mua nhà đất 2 phòng ngủ ở Phường Bình Lợi Trung để ở, khu nhà giàu",0,,44653894;39328171;44852119;44014133;44871874;43216915;45227685;45054228;44859306;44890833,45222316;44351096;45230461;45265794;45099055;45146527;45210343;45224328;45035264;44813625
rs_100083,usr_1014,tìm nhà đất Xã Nhà Bè ổn định gần trường học,0,,36834013;45179428;45256036;44487231;45035264;44420531;42712261;43887600;45266829;45005416,44066576;45206999;45101382;45177905;44582359;44637401;45203517;45056553;44779505;45200648
rs_100084,usr_1014,"nhà ở Phường Bình Lợi Trung thoáng mát 2pn, sang trọng",2,39465019;37178168,44653894;44548644;39465019;37178168;42513639;38237735;44775602;42587414;45210343;44885592,39465019;36834013;37178168;45035264;45159325;44918394;45247303;44119364;44477502;45256036
rs_100085,usr_1014,tìm nhà đất Xã Nhà Bè cao cấp gần trường học,1,39465019,39465019;37178168;45256036;45227685;45224328;45180105;41340827;45005416;43866971;45138940,44127342;45010057;39465019;44467169;44974689;44870671;44855742;40741946;44489869;44548644
rs_100086,usr_1015,tìm nhà đất Phường Nhiêu Lộc giá mềm tiềm năng tăng giá,1,44809050,45201401;45105664;43478669;43537036;45266104;44809050;45153043;43284851;44756510;44464018,44623266;45072202;45079310;45153903;44052208;45005189;45239656;44638795;44809050;45249483
rs_100087,usr_1015,"mua nhà đất đầu tư ở Phường Nhiêu Lộc pháp lý rõ ràng, giá tốt",1,44945736,44945736;45212694;44632413;45211123;43779678;44046077;43725380;45084822;45245637;41019599,45072202;45079310;44623266;45153903;45005189;44954267;44809050;44945736;45239656;45249483
rs_100088,usr_1015,nhà đất Phường Nhiêu Lộc rẻ một chút cho thuê lại được,0,,45201401;45209086;44404628;45212694;44880023;43845012;44288363;45162231;43537036;44422861,45079310;45072202;44954267;44809050;44945736;44052208;45249483;45153903;45005189;45239656
rs_100089,usr_1015,nhà đất Phường Xuân Hòa giá rẻ cho thuê lại được,1,44809050,45209086;44939217;43725380;45228435;43768536;45210408;44809050;43825788;45157429;45209564,45079310;45072202;45239656;44954267;45153903;44945736;45005189;44809050;44052208;45249483
rs_100090,usr_1015,tìm nhà đất Phường Nhiêu Lộc rẻ một chút tiềm năng tăng giá,2,44954267;44052208,44954267;45209086;45186062;44052208;44046077;43768536;44847526;45245637;44422861;44957828,45079310;45072202;44623266;45005189;45153903;45239656;44052208;44809050;44954267;45249483
rs_100091,usr_1016,căn hộ Xã Nhà Bè bình dân cho vợ chồng mới cưới,1,43830855,43830855;44107433;44284175;44464018;44046077;44880023;44762845;43513035;44403119;45219182,43830855;45244830;43926137;45148799;44986315;43839734;41003332;44562715
rs_100092,usr_1016,"cần mua căn hộ 3 phòng ngủ ở Phường Dĩ An để ở, khu nhà giàu",1,41003332,41003332;45162231;43866123;44241249;44282741;43202640;44729361;44731068;44150180;44848669,43839734;43926137;44562715;44986315;43830855;45148799;45244830;41003332
rs_100093,usr_1016,"cần mua căn hộ 3 phòng ngủ ở Xã Nhà Bè để ở, rẻ một chút",2,43830855;44986315,43830855;44860566;45157429;44731068;44762845;45266104;43317425;44986315;43825788;45229457,45244830;45148799;44562715;44986315;43839734;43926137;43830855;41003332
rs_100094,usr_1016,căn hộ Phường Dĩ An sang trọng cho gia đình,1,41003332,41003332;44284175;45138926;43238060;44463660;44984592;45023942;44143992;44241249;44880200,43926137;43839734;44562715;45148799;45244830;44986315;43830855;41003332
rs_100095,usr_1016,"nhà ở Phường Long Bình thoáng mát 3pn, giá hợp lý",0,,45138926;44463660;44988147;44848669;43537036;43349917;44796007;44107369;43513035;43825788,45200648;45200975;45206999;41003332;45203517;44741333;44570461;44315816;44315816;45244830
rs_100096,usr_1016,"nhà ở Phường Long Bình thoáng mát 2pn, sang trọng",0,,44756510;44985017;43247491;44700316;43436120;44143992;44282741;44880200;45219725;45229457,45200648;44315816;44315816;45200975;44741333;44628735;45048496;44637565;41003332;45244830
rs_100097,usr_1016,"cần mua căn hộ 2 phòng ngủ ở Phường Long Trường để ở, bình dân",1,45148799,43247491;44984592;44985017;45254034;43866123;45148799;44988147;43321672;44150180;45210408,45244830;43830855;41003332;43926137;44986315;45148799;43839734;44562715
rs_100098,usr_1017,tìm căn hộ Phường Bến Thành giá tốt gần trường học,0,,43940956;44482740;43537036;40489660;43999966;44719109;45017137;45210229;44815299;44849133,44868190;44416135
rs_100099,usr_1017,"cần mua căn hộ 1 phòng ngủ ở Phường Bến Thành để ở, bình dân",1,44416135,44416135;44531634;45266104;44740670;44843875;45010170;45017298;45194899;45250288;44849133,44868190;44416135
