result_set_id,user_id,raw_query,n_hits,hit_listing_ids,ground_truth_listing_ids,live_pred_listing_ids
rs_100014,usr_1002,tìm căn hộ Phường Long Bình giá tốt tiềm năng tăng giá,0,,44403119;44239561;44350831;44731068;45188401;44945779;45145693;45219753;44620331;43863458,44256714;44202944
rs_100015,usr_1002,căn hộ Phường Long Bình rẻ một chút dòng tiền tốt,0,,45266104;44404468;43478669;45219182;43317425;43768536;44404341;44748012;45219725;44729361,44622948
rs_100016,usr_1002,căn hộ Phường Long Bình giá rẻ dòng tiền tốt,1,43317425,45266104;43317425;44239561;45057690;45219725;44532012;44620331;44048727;44631355;44632413,44143992;43825788;44130737;44238591;43284851;44403119;43847718;43317425;45222670;43716231
rs_100017,usr_1003,nhà đất Phường Phú Định tầm trung cho gia đình,0,,45225478;45181392;45111637;45254675;45032480;44872651;44023941;44288363;44241249;43492362,44959314;45011337;45052563;45174323;44187043;44508062;45082255;44161504
rs_100018,usr_1003,"nhà ở Phường Phú Định thoáng mát 3pn, rẻ một chút",1,45099519,45099519;44693702;45181392;39078021;43679734;44404468;45157429;44023941;45110126;43339881,45131129;44743197;44492641;45116396;45085834;45237780;45169945;45099519;45269276;45154879
rs_100019,usr_1003,nhà đất Phường Phú Định giá tốt cho gia đình,2,45116396;45079321,45116396;44819431;45079321;43202640;43880424;45110126;45128667;45219182;45141155;42379055,45131129;44372189;44492641;45116396;45085834;45237780;45099519;45169945;45231828;45079321
rs_100020,usr_1003,nhà đất Phường Phú Định tầm trung cho vợ chồng mới cưới,0,,44326273;45225478;45131129;44998073;45209742;43492362;45039157;45219753;44585453;43284831,45011337;45174323;45178550;44959314;45052563;44161504;44187043;45082255
rs_100021,usr_1003,nhà đất Phường Phú Định sang trọng cho gia đình,0,,45131129;45254675;45040477;44404468;43715977;44404628;45128667;44403119;43696637;43733254,44161504;44959314;45082255;43955966;45174323;45178550;45052563;44187043
rs_100022,usr_1003,tìm nhà đất Phường Phú Định rẻ một chút gần trường học,0,,44492641;45269276;44879590;43436120;45219753;44988147;45138926;45219725;43284831;44731068,44959314;45052563;45011337;44508062;45174323;44161504;44187043;45082255
rs_100023,usr_1004,căn hộ Phường Long Bình giá rẻ cho vợ chồng mới cưới,0,,43999966;45240205;44731068;43733254;44988147;43696637;45194899;44863961;44864335;44845494,45100589;44525010;43548457;44335474;45151230
rs_100024,usr_1004,"nhà ở Phường Xuân Hòa thoáng mát 1pn, giá rẻ",0,,44843130;44239561;44468549;44729361;43321672;44143992;45162235;43241856;43436120;44849133,44335474;44346372;43211541;44487371;44558218;43533970;44558312;44574182;45029240;44186994
rs_100025,usr_1004,tìm căn hộ Phường Long Bình giá tốt gần trường học,0,,44740670;44714707;45245632;44843130;44482148;43202640;44143992;44843875;45010170;45017298,44346372;43211541;44335474;45100589;45151230
rs_100026,usr_1004,tìm căn hộ Phường Long Bình rẻ một chút gần trường học,0,,44988313;44843130;43589492;44404341;44897529;44815299;44863961;43880424;43411750;44107369,45100589;43548457;44346372;45151230;43211541
rs_100027,usr_1004,"cần mua căn hộ 1 phòng ngủ ở Phường Xuân Hòa để ở, giá mềm",0,,44843130;45240205;44403119;44482148;44468549;43321672;43589492;44626653;44841772;45162235,43548457;44525010;45151230;45100589;44346372
rs_100028,usr_1005,căn hộ Phường Long Bình giá tốt cho gia đình,0,,43733254;44406217;43696637;44729361;45057690;45235201;45075183;43381561;45204859;42182617,44143992;43825788;44238591;44130737;43317425;44403119;45161272;45084721;45222670;45039157
rs_100029,usr_1005,"nhà ở Phường Long Bình thoáng mát 1pn, rẻ một chút",0,,43589492;43999966;44406217;44404341;44239561;44731068;43716231;43530901;45188401;44631355,44643381;45100589;44356263;44087696;44990934;44644396;44440058;44953673;44346372;44487371
rs_100030,usr_1005,"cần mua căn hộ 2 phòng ngủ ở Phường Long Bình để ở, rẻ một chút",0,,44988147;44143992;43768536;45204859;45073001;43381561;42182617;44643381;39387596;45084822,45100589;44525010;44335474;44346372;45151230
rs_100031,usr_1005,"nhà ở Phường Long Bình thoáng mát 1pn, giá rẻ",0,,44719109;43345644;43339881;44404468;43478669;44731068;44023941;45157429;43768536;45204859,44643381;44990934;45100589;44087696;44356263;44644396;44440058;44953673;44487371;44346372
rs_100032,usr_1005,căn hộ Phường Long Bình giá mềm cho vợ chồng mới cưới,0,,44714707;43589492;43733254;44406217;43999966;44239561;44241249;43693887;45077780;44620331,45100589;44346372;43548457;43211541;45151230
rs_100033,usr_1005,"nhà ở Phường Long Bình thoáng mát 1pn, giá mềm",0,,44719109;43999966;44406217;44403119;44404468;43202640;45157429;43768536;43436120;44585453,44643381;44990934;45100589;44356263;44087696;44440058;44644396;44953673;45159682;44487371
rs_100034,usr_1006,tìm căn hộ Phường Long Bình cao cấp tiềm năng tăng giá,0,,43779678;45245637;44193699;43652465;45162231;45023942;43427039;41019599;43960856;44985017,44945503;45197190;44526324;44945217;45025864;45100628;45102937
rs_100035,usr_1006,nhà đất Phường Phú Thọ Hòa giá hợp lý cho thuê lại được,1,45255630,45255630;44794760;45228435;45162231;44048727;43284851;41019599;43492362;45084822;44532012,45255630;45249634;45239681;45255392;45233717;45237194;44991650;45265683;44855737;43941044
rs_100036,usr_1006,nhà đất Phường Phú Thọ Hòa sang trọng cho thuê lại được,1,44855737,44855737;44530340;45250823;44526324;45228435;45211123;44282741;44985017;44288363;45197190,44855737;45239681;45255392;45237194;45265683;45249634;43941044;45255630;45233717;44991650
rs_100037,usr_1006,"mua nhà đất đầu tư ở Phường Phú Thọ Hòa pháp lý rõ ràng, sang trọng",1,44991650,44991650;44847526;45043852;45250823;43652465;45211123;44984592;43825788;42177453;45040043,44855737;45239681;45255392;45237194;45265683;45249634;45255630;43941044;45233717;44991650
rs_100038,usr_1006,căn hộ Phường Long Bình khu nhà giàu dòng tiền tốt,1,44526324,44847526;44530340;45245637;45250823;44632413;44526324;43825788;43492362;44942764;44463660,44526324;45025864;44945217;45197190;45100628;44945503;45102937
rs_100039,usr_1006,tìm căn hộ Phường Xóm Chiếu vị trí đẹp tiềm năng tăng giá,0,,44530340;43779678;45250823;44794760;44632413;45228435;44984592;41019599;43427039;45084822,45025864;44945217;44526324;45197190;45100628;44945503;45102937
rs_100040,usr_1007,tìm căn hộ Phường Phú Thuận giá tốt gần trường học,4,45227501;45133822;45202954;45059343,45227501;45133822;45055545;45133806;45202954;45059343;45043852;45162231;45023942;44463660,45232873;44342167;45227501;45059343;45202945;45202954;45247231;45133822;45038070
rs_100041,usr_1007,căn hộ Phường Phú Thuận giá mềm cho vợ chồng mới cưới,1,45227501,45227501;45133806;45247231;45202945;44048727;45211123;44984592;43284841;44463660;45245637,45246753;44596902;43489295;45202949;45133822;44781956;45227501;45232873;45038070
rs_100042,usr_1007,"cần mua căn hộ 2 phòng ngủ ở Phường Phú Thuận để ở, rẻ một chút",1,45133822,45202945;43489295;45133806;45133822;44404628;45228435;45043852;43652465;45217453;44463660,45232873;45059343;45133822;45202949;45202954;44342167;45227501;45246430;45038070
rs_100043,usr_1007,căn hộ Phường Phú Thuận giá tốt cho gia đình,3,45227501;45202945;43489295,45227501;45202949;45202945;43489295;44404628;43492362;44288363;44860566;41003332;44048727,45059343;45246430;45202945;43489295;45202954;45232873;45227501;45246753;45038070
rs_100044,usr_1007,"cần mua căn hộ 2 phòng ngủ ở Phường Phú Thuận để ở, rẻ một chút",1,45246430,45246430;45246753;44781956;44350831;44073845;44632413;44697172;44034581;45162231;44880023,45232873;45059343;45133822;45202949;45202954;44342167;45227501;45246430;45038070
rs_100045,usr_1007,"cần mua căn hộ 2 phòng ngủ ở Phường Phú Thuận để ở, giá mềm",1,45202954,45202949;45202954;45202945;43845012;45084822;44350831;43284831;44034581;45217453;44880200,45232873;45227501;44342167;45202954;45059343;45055545;45133822;45038070;45247231
rs_100046,usr_1007,căn hộ Phường Phú Thuận rẻ một chút cho vợ chồng mới cưới,1,45246753,45059343;45246753;45246430;45247231;43489295;45055545;45217453;44530340;45023942;43725380,45246753;45232873;44596902;45202949;44781956;45133822;45133806;45227501;45038070
rs_100047,usr_1008,căn hộ Xã Tân Nhựt bình dân cho vợ chồng mới cưới,0,,44843875;44845494;44753361;45217838;44531634;45235813;45229457;44796007;44957828;42182617,43830855
rs_100048,usr_1008,tìm căn hộ Xã Tân Nhựt giá rẻ gần trường học,0,,45010170;44843875;44863961;45262776;45236710;44904039;45005790;43381561;45266104;44404468,43830855
rs_100049,usr_1008,căn hộ Xã Tân Nhựt rẻ một chút cho vợ chồng mới cưới,0,,44948688;45017298;44815299;44845848;44531634;44422861;44904039;43381561;45153043;44456711,43830855
rs_100050,usr_1008,căn hộ Xã Tân Nhựt bình dân cho gia đình,0,,45210229;44753361;44849133;45236270;45217838;44531634;45235813;45236710;44848669;44404468,43830855
rs_100051,usr_1008,căn hộ Xã Tân Nhựt giá mềm cho gia đình,0,,45194899;44843875;45211193;45236710;44957828;44620331;42182617;44904039;43926137;45005790,43830855
rs_100052,usr_1008,tìm căn hộ Xã Tân Nhựt rẻ một chút gần trường học,0,,44897529;44783081;45262776;45236710;45179775;45203517;45235201;44957970;44422861;44404468,43830855
rs_100053,usr_1009,"nhà ở Xã Trừ Văn Thố thoáng mát 3pn, giá hợp lý",0,,44620331;45028627;45075295;44945779;45200975;44864335;44897223;45217838;45210229;45093376,45206785;45204859;44977392;45159535;45223747;45206609;45215996;45244632;45159692;45155061
rs_100054,usr_1009,"nhà ở Xã Trừ Văn Thố thoáng mát 2pn, rẻ một chút",0,,45005790;42182617;44620331;45200975;44694604;45162235;44531634;45017298;45236710;45194899,44977392;45204859;45206785;45221253;45223747;45159535;45244632;45184677;45172574;44235703
rs_100055,usr_1009,"nhà ở Xã Trừ Văn Thố thoáng mát 3pn, vị trí đẹp",0,,43381561;45145693;45207948;44753361;45229457;45017298;45217838;45102993;45064811;44957828,45231927;44275170;44857911;44957857;44223267;45082473;45105255;44960399;44958250;44578203
rs_100056,usr_1009,"cần mua nhà đất 2 phòng ngủ ở Phường Bình Hưng Hòa để ở, giá mềm",0,,45115150;45200975;45207948;45211193;44948688;45184357;45081886;44957970;45153043;44229900,45157388;44578203;45264249;44820662;45072577;44957857;41315903;41340827;45105255;41753098
rs_100057,usr_1009,tìm nhà đất Phường Phú Thuận bình dân gần trường học,0,,45075295;45188401;44843875;44753361;45210229;45179775;44620727;45102993;45211549;43903476,45264249;43684389;45143212;45082473;45268404;44957857;44854998;45231927;45211536;41753098
rs_100058,usr_1009,nhà đất Phường Bảy Hiền giá mềm cho vợ chồng mới cưới,0,,45204859;45221253;44694604;44960399;45236710;44845494;44897529;45210229;45201565;44957970,41866409;44820662;41770473;41851869;44837428;44057200;42006475;44223267;44435880;44275170
rs_100059,usr_1009,tìm căn hộ Xã Tân Nhựt rẻ một chút gần trường học,0,,44845494;44948688;45194899;44843875;44845848;45210229;45077780;45102993;44094490;44762845,44456711
rs_100060,usr_1010,căn hộ Phường Đông Hưng Thuận ổn định cho thuê gần metro,1,45153043,45153043;43779678;44482077;44046077;44935352;45144378;44137008;44073845;45209742;43537623,45235016;45084852;45186848;45019830;45153043;45179775
rs_100061,usr_1010,tìm phòng căn hộ ở Phường Đông Hưng Thuận bình dân,3,45186848;45084852;45179775,45186848;45084852;45093850;45179775;44073845;44834862;44046077;44482077;43725380;44596035,45235016;45084852;45186848;45153043;45019830;45179775
rs_100062,usr_1010,"cần thuê căn hộ Phường Đông Hưng Thuận full nội thất, tầm trung",0,,45153043;45186848;45263200;45070876;45137354;44073845;41003332;44404628;43537623;44596035,45070787;45234641;45084852
rs_100063,usr_1010,thuê căn hộ Phường An Khánh 2 phòng ngủ rẻ một chút,0,,45040477;44073845;44893598;44935352;45263200;45228435;45110563;43572439;45217453;43537036,45186848;45235016;45084852;45179775;45153043;45019830
rs_100064,usr_1010,căn hộ Phường Thạnh Mỹ Tây giá mềm cho thuê gần metro,0,,45110563;43161489;43652465;44404628;45212565;44137008;45040477;45070876;45195893;45040570,45093850;45019830;45153043;45235016;45179775;45070787
rs_100065,usr_1010,tìm phòng căn hộ ở Phường Đông Hưng Thuận ổn định,2,45019830;45084852,45019830;45084852;45050074;43779678;45101930;45144378;45084822;41003332;44834862;43161489,45235016;45084852;45186848;45153043;45019830;45179775
rs_100066,usr_1011,căn hộ Phường Long Bình vị trí đẹp cho thuê gần metro,2,44034581;44048727,44034581;43284831;44523302;45210970;43496938;44048727;43644920;43900366;44847526;44974281,43825788;44193699;44755067;43874379;44034581;43847718;44283417;43960856;44048727;45084822
rs_100067,usr_1011,căn hộ Phường Long Bình sang trọng cho thuê gần metro,1,43960856,43960856;45065899;44400867;43779678;45023942;45149575;45212694;45228435;43928437;45264351,45138926;44241249;43692251;43825788;45039157;43436120;44585453;43960856;44077565;43716508
rs_100068,usr_1011,"cần thuê căn hộ Phường Long Bình full nội thất, vị trí đẹp",0,,44755067;44661735;45012434;44048727;45084822;44400867;45011469;43849134;44404628;44464018,45088647
rs_100069,usr_1011,tìm phòng căn hộ ở Phường Long Bình vị trí đẹp,0,,44193699;44475272;44077565;43496938;44048727;43716508;44404628;42513639;44073845;44761704,45138926;43284831;44288363;43492362;45250823;43874379;43825788;43436120;45039157;44241249
rs_100070,usr_1011,"cần thuê căn hộ Phường Long Bình full nội thất, khu nhà giàu",0,,44755067;45091488;43284851;44469361;42599412;44091096;43486829;45065899;43716508;43569738,45088647
rs_100071,usr_1012,"cần thuê căn hộ Phường Phú Thuận full nội thất, ổn định",0,,43489295;45231927;44887265;44186994;44596902;44781956;44077565;45228435;44907937;45211536,
rs_100072,usr_1012,căn hộ Phường Phú Thuận rẻ một chút cho thuê gần metro,0,,45227501;44942764;43158878;43136703;45028627;45059343;44860566;45200981;44907937;45162231,44525010;43548457;43211541;45100589;45151230
rs_100073,usr_1012,tìm phòng nhà đất ở Phường Phú Thuận rẻ một chút,0,,45143212;44574182;44281973;45105255;45088537;43284831;44632413;44342167;43993246;44860566,45093806;45268389;43931812;45157462;45237769;44568685;43928437;45067608;45037091;45152695
rs_100074,usr_1012,tìm phòng căn hộ ở Phường Phú Thuận rẻ một chút,1,45227501,45227501;44942764;43489295;44887265;44621409;44632413;45212694;44077565;45201231;44034581,45232873;45059343;45202954;45133822;45202949;45227501;45246430;44342167;45038070
rs_100075,usr_1012,tìm phòng nhà đất ở Phường Phú Thuận giá mềm,0,,43136703;45202949;44596902;44632413;44073845;44077565;45043852;45202954;43993246;44860566,45093806;43931812;45268389;45037091;45152695;44568685;45157462;45237769;45067608;44823332
rs_100076,usr_1012,nhà đất Phường Phú Thuận ổn định cho thuê gần metro,0,,44854998;44186994;44887265;45207627;42962075;45075295;45202949;45133822;44781956;45133806,45067608;45157462;45093806;43928437;45171748;44568568;44568685;45124353;45037091;45152695
rs_100077,usr_1013,"cần thuê nhà đất Phường Tăng Nhơn Phú full nội thất, sang trọng",1,45242724,44770103;45228435;45084822;44283417;43825788;43349917;44531634;44953962;45242724;44487580,45139954;44704691;45140058;45088361;44953993;45242724;45009349;45179743;45148338;45117201
rs_100078,usr_1013,thuê nhà đất Phường Long Bình 0 phòng ngủ sang trọng,0,,43644920;44073845;44632413;43537623;45228435;43874379;43478669;43537036;45266104;45112600,44707165;45144378;44469361;44475272
rs_100079,usr_1013,tìm phòng nhà đất ở Phường Long Bình vị trí đẹp,0,,43644920;44077565;44847526;43779678;44755067;43874379;43725380;44404468;43825788;44796007,44544650;45166701;45139954;45118111;45177579;44177616;45007922;45186485;45215592;45251894
rs_100080,usr_1013,căn hộ Phường Long Bình sang trọng cho thuê gần metro,0,,44077565;43284831;44632413;44048727;45084822;43725380;44046077;43478669;43537036;45235201,45138926;44403119;43317425;45222670;43339881;45222670;43284841;43716231;45266104;44350831
rs_100081,usr_1013,thuê căn hộ Phường Long Bình 3 phòng ngủ khu nhà giàu,0,,44193699;43537623;44288363;44283417;43845012;44350831;44046077;45266104;44796007;43716508,45100152;45135899
rs_100082,usr_1014,"cần mua nhà đất 2 phòng ngủ ở Phường Bình Lợi Trung để ở, khu nhà giàu",0,,44653894;39328171;44852119;44014133;44871874;43216915;45227685;45054228;44859306;44890833,45268965;45071789;45200648;45206999;44637565;45048496;42742297;44856748;44637401;45270893
rs_100083,usr_1014,tìm nhà đất Xã Nhà Bè ổn định gần trường học,0,,36834013;45179428;45256036;44487231;45035264;44420531;42712261;43887600;45266829;45005416,44864665;44351096;45227685;45000100;44867301;44538130;45264187;45035345;44855742;45150945
rs_100084,usr_1014,"nhà ở Phường Bình Lợi Trung thoáng mát 2pn, sang trọng",0,,44653894;44548644;39465019;37178168;42513639;38237735;44775602;42587414;45210343;44885592,45222316;44351096;44813625;45265794;45099055;45159325;44869367;45230461;45230255;45016818
rs_100085,usr_1014,tìm nhà đất Xã Nhà Bè cao cấp gần trường học,0,,39465019;37178168;45256036;45227685;45224328;45180105;41340827;45005416;43866971;45138940,45099055;44871874;45205900;45230461;44200150;45000100;45159325;45222316;44156207;44363864
rs_100086,usr_1015,tìm nhà đất Phường Nhiêu Lộc giá mềm tiềm năng tăng giá,0,,45201401;45105664;43478669;43537036;45266104;44809050;45153043;43284851;44756510;44464018,43683976;44901153;44368428;44742848;45118041;44732057;45215285;45125747;44730435;44945736
rs_100087,usr_1015,"mua nhà đất đầu tư ở Phường Nhiêu Lộc pháp lý rõ ràng, giá tốt",0,,44945736;45212694;44632413;45211123;43779678;44046077;43725380;45084822;45245637;41019599,45039846;45105664;42807823;45191353;45212454;45186062;45065862;45214926;44931890;45006538
rs_100088,usr_1015,nhà đất Phường Nhiêu Lộc rẻ một chút cho thuê lại được,0,,45201401;45209086;44404628;45212694;44880023;43845012;44288363;45162231;43537036;44422861,45079310;45072202;44833225;45146196;45239086;45023000;44809050;43578966;45005189;44745637
rs_100089,usr_1015,nhà đất Phường Xuân Hòa giá rẻ cho thuê lại được,0,,45209086;44939217;43725380;45228435;43768536;45210408;44809050;43825788;45157429;45209564,44368428;44901153;43649617;44872082;45211253;45215285;45215597;45215802;44954267;44945736
rs_100090,usr_1015,tìm nhà đất Phường Nhiêu Lộc rẻ một chút tiềm năng tăng giá,0,,44954267;45209086;45186062;44052208;44046077;43768536;44847526;45245637;44422861;44957828,44901153;45147655;45125747;45201401;45215285;44742848;44623266;44732057;44730435;45153903
rs_100091,usr_1016,căn hộ Xã Nhà Bè bình dân cho vợ chồng mới cưới,0,,43830855;44107433;44284175;44464018;44046077;44880023;44762845;43513035;44403119;45219182,45244830;43926137;45148799;44986315;43839734;41003332;44562715
rs_100092,usr_1016,"cần mua căn hộ 3 phòng ngủ ở Phường Dĩ An để ở, khu nhà giàu",0,,41003332;45162231;43866123;44241249;44282741;43202640;44729361;44731068;44150180;44848669,43830855
rs_100093,usr_1016,"cần mua căn hộ 3 phòng ngủ ở Xã Nhà Bè để ở, rẻ một chút",1,43830855,43830855;44860566;45157429;44731068;44762845;45266104;43317425;44986315;43825788;45229457,43830855
rs_100094,usr_1016,căn hộ Phường Dĩ An sang trọng cho gia đình,0,,41003332;44284175;45138926;43238060;44463660;44984592;45023942;44143992;44241249;44880200,43830855
rs_100095,usr_1016,"nhà ở Phường Long Bình thoáng mát 3pn, giá hợp lý",0,,45138926;44463660;44988147;44848669;43537036;43349917;44796007;44107369;43513035;43825788,45115875;44532610;45200648;45200975;45206999;45069226;44741333;43197023;45203517;39465019
rs_100096,usr_1016,"nhà ở Phường Long Bình thoáng mát 2pn, sang trọng",0,,44756510;44985017;43247491;44700316;43436120;44143992;44282741;44880200;45219725;45229457,45244830;44986315;43926137;45148799;43839734;44562715;41003332;44437333;45196467;45053231
rs_100097,usr_1016,"cần mua căn hộ 2 phòng ngủ ở Phường Long Trường để ở, bình dân",0,,43247491;44984592;44985017;45254034;43866123;45148799;44988147;43321672;44150180;45210408,43830855
rs_100098,usr_1017,tìm căn hộ Phường Bến Thành giá tốt gần trường học,1,43940956,43940956;44482740;43537036;40489660;43999966;44719109;45017137;45210229;44815299;44849133,44868190;43481818;44416135;43940956;45014857;43959995;44186979
rs_100099,usr_1017,"cần mua căn hộ 1 phòng ngủ ở Phường Bến Thành để ở, bình dân",1,44416135,44416135;44531634;45266104;44740670;44843875;45010170;45017298;45194899;45250288;44849133,43481818;43940956;44868190;43959995;44416135;44870654;44482740
