result_set_id,user_id,raw_query,n_hits,hit_listing_ids,ground_truth_listing_ids,live_pred_listing_ids
rs_300010,usr_1004,"căn hộ Phường Xuân Hòa dưới 2.4 tỷ cho vợ chồng mới cưới, 1 phòng ngủ, gần bến xe buýt",2,44843130;44833225,45245632;45240205;44843130;43682719;42298790;44745637;44745552;44635188;44833225;43578966,44833225;44731068;44432528;44468549;44719109;44406217;44843130;43317425;43589492;43733254
rs_300011,usr_1005,"nhà ở Phường Long Bình thoáng mát 1pn, dưới 2.8 tỷ, có bãi đỗ xe",1,44404341,43589492;44740670;45057690;44714707;44406217;43999966;43733254;44719109;44988313;44404341,44286055;43572439;45266104;44397902;44748012;44063983;43345644;44404341;43321672;44350831
rs_300012,usr_1005,"cần mua căn hộ 1 phòng ngủ ở Phường Long Bình để ở, dưới 2.8 tỷ, có bãi đỗ xe",0,,43589492;44740670;45057690;44714707;44406217;43999966;43733254;44719109;44988313;44404341,43572439;44286055;44397902;44063983;44748012;45266104;44350831;43321672;43436120;44048727
rs_300013,usr_1005,"cần mua căn hộ 1 phòng ngủ ở Phường Long Bình để ở, dưới 2.8 tỷ, có bãi đỗ xe",2,44406217;44404341,43589492;44740670;45057690;44714707;44406217;43999966;43733254;44719109;44988313;44404341,44922077;43345644;44404341;45189967;44406217;43228481;45084721;44256714;43344418;44403119
rs_300014,usr_1006,"nhà đất Phường Phú Thọ Hòa dưới 7.8 tỷ dòng tiền tốt, 2 phòng ngủ, gần trường học",8,45265683;45255630;44855737;45249634;44991650;45239681;45237194;44526324,45265683;45255630;44855737;45249634;43941044;44991650;45239681;45237194;44526324;45025864,45255630;45265683;45249634;45239681;44526324;44855737;44991650;45237194;45255392;45197190
rs_300015,usr_1006,"nhà đất Phường Phú Thọ Hòa dưới 7.8 tỷ cho thuê lại được, 2 phòng ngủ, gần trường học",7,45265683;45255630;45249634;44991650;45239681;45237194;44526324,45265683;45255630;44855737;45249634;43941044;44991650;45239681;45237194;44526324;45025864,45255630;45255392;45265683;45249634;44526324;44991650;45233717;45237194;43981027;45239681
rs_300016,usr_1006,"nhà đất Phường Phú Thọ Hòa dưới 7.8 tỷ cho thuê lại được, 2 phòng ngủ, gần trường học",7,45265683;45255630;45249634;44991650;45239681;45237194;44526324,45265683;45255630;44855737;45249634;43941044;44991650;45239681;45237194;44526324;45025864,45255630;45255392;45265683;44526324;45249634;43981027;44991650;45233717;45237194;45239681
rs_300017,usr_1007,"cần mua căn hộ 2 phòng ngủ ở Phường Phú Thuận để ở, dưới 7.9 tỷ, gần trường học",2,44960399;45075295,45227501;45222094;44960399;43136703;45231927;45088537;44958250;44887265;45075295;45157388,45264249;45138568;45075295;44342167;45268404;43489295;45260718;44960399;44857911;41753098
rs_300018,usr_1007,"tìm căn hộ Phường Phú Thuận dưới 7.9 tỷ gần trường học, 2 phòng ngủ",2,44960399;45075295,45227501;45222094;44960399;43136703;45231927;45088537;44958250;44887265;45075295;45157388,44342167;45264249;43489295;45138568;45268404;45260718;45075295;44857911;44960399;41753098
rs_300019,usr_1007,"nhà ở Phường Phú Thuận thoáng mát 2pn, dưới 7.9 tỷ, gần trường học",2,44960399;45075295,45227501;45222094;44960399;43136703;45231927;45088537;44958250;44887265;45075295;45157388,45138568;45264249;45268404;45075295;44342167;45260718;44960399;43489295;44964591;41753098
rs_300020,usr_1008,"cần mua nhà đất 2 phòng ngủ ở Xã Nhà Bè để ở, dưới 2.7 tỷ, gần trường học",0,,45200975;45203517;44582359;45206999;45201332;44949894;44963713;45143889;39465019;44829409,44385645;44261451;44597730;44378630;45140583;45253417;45054263;44089093;45069226;44635628
rs_300021,usr_1008,"nhà đất Xã Nhà Bè dưới 2.7 tỷ cho gia đình, 2 phòng ngủ, gần trường học",0,,45200975;45203517;44582359;45206999;45201332;44949894;44963713;45143889;39465019;44829409,44261451;44385645;44597730;44378630;45140583;45253417;44089093;44635628;45054263;45069226
rs_300022,usr_1008,"nhà ở Xã Nhà Bè thoáng mát 2pn, dưới 2.7 tỷ, gần trường học",1,44949894,45200975;45203517;44582359;45206999;45201332;44949894;44963713;45143889;39465019;44829409,44385645;44261451;44572247;45253417;44378630;44949894;45140583;44635628;44089093;45069226
rs_300023,usr_1009,"nhà ở Phường Bảy Hiền thoáng mát 2pn, dưới 3.0 tỷ, gần trường học",5,45215996;44113870;45204859;45221253;45250379,45215996;44456711;43817305;44943702;44350421;44113870;45172574;45204859;45221253;45250379,45260967;45215996;45204859;45261455;45250379;45221253;45159535;45159692;44113870;45223747
rs_300024,usr_1009,"nhà đất Phường Phú Thuận dưới 3.0 tỷ cho vợ chồng mới cưới, 2 phòng ngủ, gần trường học",5,45075295;43684389;44435880;43832511;44960399,45088537;45075295;45028627;43684389;45222094;44435880;43832511;44960399;44837428;43136703,43684389;44960399;43832511;45075295;44435880;45207627;45143212;45268404;45157388;44694604
rs_300025,usr_1009,"nhà ở Phường Bảy Hiền thoáng mát 2pn, dưới 3.0 tỷ, gần trường học",5,45215996;44113870;45204859;45221253;45250379,45215996;44456711;43817305;44943702;44350421;44113870;45172574;45204859;45221253;45250379,45260967;45215996;45204859;45261455;45250379;45221253;45159692;45159535;45155061;44113870
rs_300026,usr_1010,"căn hộ Phường Đông Hưng Thuận dưới 6.7 tỷ cho thuê gần metro, 1 phòng ngủ, có bãi đỗ xe",6,45235016;45234641;45019830;45153043;45186848;45179775,45235016;45093850;45234641;45019830;45070787;45153043;45084852;45186848;45179775;44766282,45019830;45235016;45234641;45153043;45186848;45179775;44466982;45170744;44018090;43161489
rs_300027,usr_1010,"thuê căn hộ Phường Đông Hưng Thuận 1 phòng ngủ dưới 6.7 tỷ, có bãi đỗ xe",6,45235016;45234641;45019830;45153043;45186848;45179775,45235016;45093850;45234641;45019830;45070787;45153043;45084852;45186848;45179775;44766282,45235016;45234641;45153043;45186848;45179775;45019830;43482908;44483330;45223376;45195327
rs_300028,usr_1010,"thuê căn hộ Phường Đông Hưng Thuận 1 phòng ngủ dưới 6.7 tỷ, có bãi đỗ xe",6,45235016;45234641;45019830;45153043;45186848;45179775,45235016;45093850;45234641;45019830;45070787;45153043;45084852;45186848;45179775;44766282,45235016;45234641;45153043;45186848;45179775;45019830;43482908;44483330;45223376;45195327
rs_300029,usr_1011,"tìm phòng nhà đất ở Phường Cát Lái dưới 24.4 tỷ, 3 phòng ngủ, gần trường học",6,44607260;44900791;45012434;45094868;44708079;45149575,44971549;44607260;44900791;45012434;44945202;45094868;45097549;44708079;45155379;45149575,44400867;45012434;44708079;44607260;44900791;45094868;45215158;43849134;45149575;44141551
rs_300030,usr_1011,"cần thuê căn hộ Phường Long Bình full nội thất, dưới 24.4 tỷ, 3 phòng ngủ, gần trường học",5,43960856;44048727;45250823;43436120;44288363,43960856;44193699;45084822;44048727;45250823;43436120;44288363;44283417;44077565;43569738,44048727;43572439;44034581;45144378;43960856;43436120;44288363;43537623;45250823;44286055
rs_300031,usr_1012,"thuê nhà đất Phường Tân Định 2 phòng ngủ dưới 7.6 tỷ, gần trường học",5,45171748;45076045;45237769;45037091;45093806,45171748;43928437;45192150;45076045;45237769;45124353;45037091;45105861;45093806;45067608,45076045;45093806;44773630;45171748;45268389;45237769;45152695;45176415;45037091;44754807
rs_300032,usr_1012,"cần thuê căn hộ Phường Phú Thuận full nội thất, dưới 7.6 tỷ, 2 phòng ngủ, gần trường học",1,45088537,45227501;45222094;44960399;43136703;45231927;45088537;44958250;44887265;45075295;45157388,43652465;45151230;45105255;45100589;44910889;45088537;44904039;45032566;45084742;44530340
rs_300033,usr_1012,"tìm phòng căn hộ ở Phường Phú Thuận dưới 7.6 tỷ, 2 phòng ngủ, gần trường học",2,44960399;45075295,45227501;45222094;44960399;43136703;45231927;45088537;44958250;44887265;45075295;45157388,45264249;45138568;45268404;45260718;44342167;43489295;44960399;44857911;45075295;45126932
rs_300034,usr_1013,"nhà đất Phường Đông Hòa dưới 28.0 tỷ cho thuê gần metro, 2 phòng ngủ, có phòng gym",4,44487580;45135899;45100152;45137809,45162192;44487580;45059816;45135899;45100152;44972785;45186080;45137809;45164575;44994255,45135899;44487580;45100152;45137809;45079310;45240090;45246054;44995391;44986073;45220144
rs_300035,usr_1013,"cần thuê nhà đất Phường Đông Hòa full nội thất, dưới 28.0 tỷ, 2 phòng ngủ, có phòng gym",5,44487580;45135899;45100152;45186080;45137809,45162192;44487580;45059816;45135899;45100152;44972785;45186080;45137809;45164575;44994255,44487580;45135899;45100152;45137809;45186080;45170744;45115150;45212565;45205900;45088684
rs_300036,usr_1013,"cần thuê nhà đất Phường Tăng Nhơn Phú full nội thất, dưới 28.0 tỷ, 2 phòng ngủ, có phòng gym",4,45251894;45140058;44953962;45263200,44531634;43349917;43537036;44796007;44422861;44046077;45251894;45140058;44953962;45263200,45251894;45166701;45140058;45263200;45166768;44953962;45007922;45242724;44953993;45177579
rs_300037,usr_1014,"cần mua nhà đất 2 phòng ngủ ở Xã Nhà Bè để ở, dưới 22.9 tỷ, gần trường học",1,45054263,44949894;44963713;45143889;39465019;44829409;45268965;45054263;45256036;44877579;44962142,44572247;44885592;45253417;44385645;44378630;44261451;44089093;44598931;45054263;44635628
rs_300038,usr_1014,"nhà đất Xã Nhà Bè dưới 22.9 tỷ cho vợ chồng mới cưới, 2 phòng ngủ, gần trường học",2,44949894;45054263,44949894;44963713;45143889;39465019;44829409;45268965;45054263;45256036;44877579;44962142,44572247;45253417;45261598;44385645;44885592;44378630;45140583;44949894;44089093;45054263
rs_300039,usr_1014,"tìm nhà đất Xã Nhà Bè dưới 22.9 tỷ gần trường học, 2 phòng ngủ",0,,44949894;44963713;45143889;39465019;44829409;45268965;45054263;45256036;44877579;44962142,44572247;45261598;45253417;44885592;44385645;44635628;44378630;44598931;44940395;44089093
rs_300040,usr_1015,"nhà đất Phường Nhiêu Lộc dưới 7.6 tỷ cho thuê lại được, 2 phòng ngủ, gần trường học",2,45201401;45054822,44954267;45201401;44939217;45093795;45054822;45239656;44052208;44945736;45153903;44623266,45252083;45201401;45054822;43981180;43683976;43676269;45233147;45231927;45147655;45197190
rs_300041,usr_1015,"nhà đất Phường Xuân Hòa dưới 7.6 tỷ dòng tiền tốt, 2 phòng ngủ, gần trường học",4,45072202;45239086;45209086;45079310,45005189;45072202;45239086;45209086;44809050;45079310;45146196;45023000;45245632;45240205,45079310;45200898;44833225;45209086;45072202;45239086;44010041;44751278;43419296;43578966
rs_300042,usr_1016,"nhà ở Xã Nhà Bè thoáng mát 2pn, dưới 5.7 tỷ, có sân thể thao",2,45241427;45200975,43830855;44986524;44887604;44315816;44949894;45253417;45241427;44955264;45200975;45140583,44582359;45236705;45193243;45241427;45056553;44564031;45226241;45200975;44741333;45203517
rs_300043,usr_1016,"căn hộ Xã Nhà Bè dưới 5.7 tỷ cho vợ chồng mới cưới, 2 phòng ngủ, có sân thể thao",0,,43830855;44986524;44887604;44315816;44949894;45253417;45241427;44955264;45200975;45140583,44995869;44340134;45069226;45054263;45159575;45253260;44829409;44522452;44550792;44261451
rs_300044,usr_1017,"tìm nhà đất Phường Hiệp Bình dưới 2.3 tỷ gần trường học, 1 phòng ngủ, gần metro",6,40489660;40970351;44951460;45097287;44963337;45096611,44869986;40489660;45218797;40970351;44951460;45097287;44963337;45181136;45065540;45096611,45097287;44951460;44348441;45096611;44963337;40489660;40970351;39130038;44872978;44804938
rs_300045,usr_1017,"nhà đất Phường Hiệp Bình dưới 2.3 tỷ cho gia đình, 1 phòng ngủ, gần metro",6,40489660;40970351;44951460;45097287;44963337;45096611,44869986;40489660;45218797;40970351;44951460;45097287;44963337;45181136;45065540;45096611,45097287;44951460;44348441;45096611;44963337;40489660;40970351;39130038;44872978;44804938
rs_300046,usr_1018,"nhà đất Phường Long Phước dưới 2.2 tỷ cho gia đình, 2 phòng ngủ, có sân thể thao",5,39387596;45241889;41287063;44735546;39124630,39387596;45154503;45241889;44655376;41287063;44671246;45051102;45062729;44735546;39124630,39387596;45241889;39124630;41287063;45099707;44735546;44229900;45152520;45078935;45192745
rs_300047,usr_1018,"nhà ở Phường Tân Định thoáng mát 2pn, dưới 2.2 tỷ, có sân thể thao",3,45076045;45237769;45067608,45171748;45268389;43931812;45076045;45237769;45067608;44430840;45152695;45157462;45093806,45237769;45037091;45124353;45076045;45042196;45192150;44278606;45067608;45089167;45135481
rs_300048,usr_1018,"cần mua nhà đất 2 phòng ngủ ở Phường Long Phước để ở, dưới 2.2 tỷ, có sân thể thao",5,39387596;45241889;41287063;44735546;39124630,39387596;45154503;45241889;44655376;41287063;44671246;45051102;45062729;44735546;39124630,44735546;39387596;39124630;45241889;41287063;45099707;44229900;45152520;45192745;45078935
rs_300049,usr_1019,"cần mua nhà đất 2 phòng ngủ ở Phường Bình Trị Đông để ở, dưới 2.2 tỷ, gần trường học",5,44865186;45269189;45250656;45256146;45256231,45092572;44865186;45251495;45269189;45250656;45256146;45256231;44652527;44954094;45233147,45256231;45256146;45256250;45264890;45250342;45257711;44865186;45270265;45250656;45269189
rs_300050,usr_1019,"cần mua nhà đất 2 phòng ngủ ở Phường Bình Trị Đông để ở, dưới 2.2 tỷ, gần trường học",5,44865186;45269189;45250656;45256146;45256231,45092572;44865186;45251495;45269189;45250656;45256146;45256231;44652527;44954094;45233147,45256231;45256146;45256250;45264890;45250342;45257711;44865186;45270265;45250656;45269189
rs_300051,usr_1020,"tìm nhà đất Phường Long Bình dưới 8.0 tỷ gần trường học, 2 phòng ngủ, gần bến xe buýt",3,43321672;44048727;43436120,44707165;45222670;43317425;43241856;43321672;45084822;44048727;43436120;44729361;44288363,45144378;43321672;43537623;45266104;44350831;43436120;44469361;44048727;43960856;44748012
rs_300052,usr_1020,"cần mua nhà đất 2 phòng ngủ ở Phường Long Bình để ở, dưới 8.0 tỷ, gần bến xe buýt",3,43321672;44048727;43436120,44707165;45222670;43317425;43241856;43321672;45084822;44048727;43436120;44729361;44288363,45266104;45144378;43537623;43321672;44350831;44469361;44048727;43436120;43960856;44748012
rs_300053,usr_1021,"nhà đất Phường An Hội Tây dưới 2.6 tỷ cho vợ chồng mới cưới, 2 phòng ngủ, gần metro",7,45071367;45137354;45211053;45075817;45255747;45085092;45266627,45071367;45137354;45211053;45236404;45075817;45019732;45255747;45085092;45190237;45266627,45071367;45137354;45211053;45251031;45267089;45266627;45255747;45075817;45258990;45085092
rs_300054,usr_1021,"cần mua nhà đất 2 phòng ngủ ở Phường An Hội Tây để ở, dưới 2.6 tỷ, gần metro",6,45071367;45137354;45075817;45255747;45085092;45266627,45071367;45137354;45211053;45236404;45075817;45019732;45255747;45085092;45190237;45266627,45071367;45255747;45251031;45267089;45266627;45075817;45085092;45258990;45256975;45137354
rs_300055,usr_1021,"căn hộ Phường Cầu Kiệu dưới 2.6 tỷ cho vợ chồng mới cưới, 2 phòng ngủ, gần metro",4,45042172;45229581;45252747;45272297,45042172;44984489;44770429;44805963;45229581;45027406;45252747;44934839;45272297;45239181,45042172;45272297;45265897;44966659;45266718;44994255;45252747;45259017;45128126;45229581
rs_300056,usr_1022,"tìm phòng nhà đất ở Phường Hòa Hưng dưới 2.7 tỷ, 2 phòng ngủ, có sân thể thao",4,45161667;45255223;43517731;45263608,45161667;45187744;45195893;45240090;45255223;44106049;43238341;44140279;43517731;45263608,45255223;43598350;43903589;45260467;43517731;43900905;45161667;42764854;45255963;45263608
rs_300057,usr_1022,"nhà đất Xã Hiệp Phước dưới 2.7 tỷ cho thuê gần metro, 2 phòng ngủ, có sân thể thao",4,44385645;44261451;44378630;44089093,44945779;43821501;44200919;44385645;44261451;44593189;44378630;45191674;45261598;44089093,44597730;44261451;44385645;44522452;44378630;44089093;44940395;44233647;45152823;45266104
rs_300058,usr_1023,"thuê nhà đất Phường Tân Sơn Hòa 3 phòng ngủ dưới 2.5 tỷ, gần trường học",6,45000212;45224513;45210079;45183885;42045091;45260350,45000212;44542346;45116083;45160107;45224513;45210079;45183885;42045091;45260350;44756621,45210079;45183885;45224513;45000212;45260350;42045091;44793585;45147770;44454285;44889787
rs_300059,usr_1023,"thuê nhà đất Phường Tân Sơn 3 phòng ngủ dưới 2.5 tỷ, gần trường học",4,45138363;44466877;45257389;44421523,45138363;44466877;45110126;45143537;45183074;45203396;45039538;44393683;45257389;44421523,44466877;45138363;45257389;44756981;45177340;44421523;45178962;44573847;45229038;45150817
rs_300060,usr_1023,"cần thuê nhà đất Phường Tân Sơn Hòa full nội thất, dưới 2.5 tỷ, 3 phòng ngủ, gần trường học",5,45116083;45224513;45210079;42045091;45260350,45000212;44542346;45116083;45160107;45224513;45210079;45183885;42045091;45260350;44756621,45260350;44793585;42045091;45108854;45116083;45210079;44454285;45205934;45224513;44233376
rs_300061,usr_1024,"căn hộ Phường An Lạc dưới 2.1 tỷ cho thuê lại được, 1 phòng ngủ, gần trung tâm thương mại",5,45265733;45257289;44785182;45210622;44623291,45265733;45257289;44697172;44785182;45210622;44623291;45095425;44784199;44744909;45083934,44785182;45210622;44623291;45233273;45257289;45102649;45186557;45250023;45019913;45265733
rs_300062,usr_1024,"tìm căn hộ Phường An Lạc dưới 2.1 tỷ tiềm năng tăng giá, 1 phòng ngủ, gần trung tâm thương mại",5,45265733;45257289;44785182;45210622;44623291,45265733;45257289;44697172;44785182;45210622;44623291;45095425;44784199;44744909;45083934,45257289;44785182;45210622;45265733;44623291;44798297;45167074;45263838;44966803;44743670
rs_300063,usr_1024,"căn hộ Phường An Lạc dưới 2.1 tỷ dòng tiền tốt, 1 phòng ngủ, gần trung tâm thương mại",5,45265733;45257289;44697172;44784199;44744909,45265733;45257289;44697172;44785182;45210622;44623291;45095425;44784199;44744909;45083934,45265733;45257289;45167074;44743670;44763347;44812705;44697172;44784199;44744909;44962033
rs_300064,usr_1025,"nhà đất Phường Thông Tây Hội dưới 2.9 tỷ dòng tiền tốt, 2 phòng ngủ, gần trường học",2,45088684;45132591,44506594;45088684;44790683;45232601;45011234;45132591;45160333;45157309;45125602;44979444,45269042;45256206;45132591;45265868;45240363;45088684;44961717;44800993;45256356;45174816
rs_300065,usr_1025,"tìm nhà đất Phường Thông Tây Hội dưới 2.9 tỷ tiềm năng tăng giá, 2 phòng ngủ, gần trường học",2,45088684;45132591,44506594;45088684;44790683;45232601;45011234;45132591;45160333;45157309;45125602;44979444,45256206;45269042;45132591;45265868;45240363;44961717;45088684;44800993;45256356;45174816
rs_300066,usr_1025,"tìm nhà đất Xã Hiệp Phước dưới 2.9 tỷ tiềm năng tăng giá, 2 phòng ngủ, gần trường học",7,43821501;44385645;44593189;44378630;44570832;45201395;44635628,43821501;44945779;44385645;44593189;44378630;44587740;45191674;44570832;45201395;44635628,44593189;44385645;44940395;44378630;44635628;44570832;43821501;45201395;44733999;44733927
rs_300067,usr_1026,"nhà ở Phường Thủ Đức thoáng mát 1pn, dưới 2.6 tỷ, có thang máy",3,45122141;45247385;45220146,45114495;45122141;44440279;45207129;44616457;44417445;45138441;45247385;45220146;45220153,40489660;45073001;43869611;45077279;45220146;44922077;45122141;43015737;45247385;44448048
rs_300068,usr_1026,"căn hộ Phường Bình Trưng dưới 2.6 tỷ cho gia đình, 1 phòng ngủ, có thang máy",4,43411750;45248655;44781667;45216684,43411750;44133946;45248655;44781792;44781667;44729464;43652465;44199099;45216684;45217453,43411750;45216684;44970036;45103700;45248655;44781667;44136516;45101997;45060998;44424655
rs_300069,usr_1026,"nhà ở Phường Thủ Đức thoáng mát 1pn, dưới 2.6 tỷ, có thang máy",3,45122141;45247385;45220146,45114495;45122141;44440279;45207129;44616457;44417445;45138441;45247385;45220146;45220153,40489660;45073001;43869611;45077279;45220146;44922077;45122141;43015737;45247385;44448048
rs_300070,usr_1027,"nhà đất Phường Dĩ An dưới 2.6 tỷ cho thuê gần metro, 1 phòng ngủ",4,44628735;44870124;44077990;44562715,44628735;41003332;44870124;44570461;45244830;44077990;43926137;44562715;45053231;44693153,44487580;45137809;45135899;44077990;44628735;44562715;44870124;44437333;45217235;45196467
rs_300071,usr_1027,"nhà đất Phường Dĩ An dưới 2.6 tỷ cho thuê gần metro, 1 phòng ngủ",4,44628735;44870124;44077990;44562715,44628735;41003332;44870124;44570461;45244830;44077990;43926137;44562715;45053231;44693153,44487580;45137809;45135899;44077990;44628735;44562715;44870124;44437333;45217235;45196467
rs_300072,usr_1027,"nhà đất Phường Dĩ An dưới 2.6 tỷ cho thuê gần metro, 1 phòng ngủ",4,44628735;44870124;44077990;44562715,44628735;41003332;44870124;44570461;45244830;44077990;43926137;44562715;45053231;44693153,44487580;45137809;45135899;44077990;44628735;44562715;44870124;44437333;45217235;45196467
rs_300073,usr_1028,"nhà đất Phường Đức Nhuận dưới 7.1 tỷ cho thuê gần metro, 2 phòng ngủ, gần trường học",1,45224366,45207820;45224366;45192385;45032097;45202069;45198077;45200939;45099274;45021898;45252566,45075183;45255723;44867307;44618700;45266775;45259507;44101006;45175377;44102841;45224366
rs_300074,usr_1028,"cần thuê nhà đất Phường Đức Nhuận full nội thất, dưới 7.1 tỷ, 2 phòng ngủ, gần trường học",1,45224366,45207820;45224366;45192385;45032097;45202069;45198077;45200939;45099274;45021898;45252566,44618700;45075183;45266775;45257856;45255723;45259507;44101006;45175377;44102841;45224366
rs_300075,usr_1029,"tìm nhà đất Phường An Phú Đông dưới 25.9 tỷ tiềm năng tăng giá, 2 phòng ngủ, gần trường học",3,45127270;44269504;45250947,45127270;44390382;44670333;45083827;45192019;44639724;44269504;45180546;45250947;45236207,45016734;44139929;44619715;45120025;44269504;45226530;45016136;45250947;45127270;45158404
rs_300076,usr_1029,"nhà đất Phường An Phú Đông dưới 25.9 tỷ dòng tiền tốt, 2 phòng ngủ, gần trường học",1,44269504,45127270;44390382;44670333;45083827;45192019;44639724;44269504;45180546;45250947;45236207,44139929;44619715;44269504;45226530;45197139;45178705;45016734;45158404;45199407;45071210
rs_300077,usr_1029,"mua căn hộ đầu tư ở Phường Khánh Hội pháp lý rõ ràng, dưới 25.9 tỷ, 2 phòng ngủ, gần trường học",6,45245637;44456588;45110391;44586268;44568353;45074852,45245637;44456588;45110391;44256277;45073172;44586268;44568353;45249214;45074852;44673778,44586268;44456588;45110391;45074852;44568353;45245637;45199044;44817009;44779145;44052997
rs_300078,usr_1030,"cần mua căn hộ 2 phòng ngủ ở Xã Tân Nhựt để ở, dưới 7.8 tỷ, có hồ bơi",2,45162235;44843875,44848669;45162235;44845494;44984592;44843875;45262776;44880200;44762845;45162231;44864335,45040159;45040043;44816319;45081962;44464713;45162235;44427897;45017137;44843875;45032566
rs_300079,usr_1030,"nhà ở Xã Tân Nhựt thoáng mát 2pn, dưới 7.8 tỷ, có hồ bơi",2,45162235;44843875,44848669;45162235;44845494;44984592;44843875;45262776;44880200;44762845;45162231;44864335,45040159;45040043;44342167;45017137;45162235;44843875;44427897;45081962;45059343;45202949
rs_300080,usr_1030,"cần mua căn hộ 2 phòng ngủ ở Xã Tân Nhựt để ở, dưới 7.8 tỷ, có hồ bơi",2,45162235;44843875,44848669;45162235;44845494;44984592;44843875;45262776;44880200;44762845;45162231;44864335,45040159;45040043;44816319;45081962;44464713;45162235;44427897;45017137;44843875;45032566
rs_300081,usr_1031,"căn hộ Phường An Khánh dưới 6.8 tỷ cho gia đình, 2 phòng ngủ, gần trường học",4,34061984;45040159;45040043;45153972,34061984;45040159;45040043;40990762;42091112;45032566;44427897;44464713;45153972;44516802,45153972;44850086;44333099;45040043;45040159;45032480;45209742;45040477;45052563;34061984
rs_300082,usr_1031,"nhà ở Phường An Phú Đông thoáng mát 2pn, dưới 6.8 tỷ, gần trường học",3,45127270;44269504;45250947,45127270;44390382;44670333;45083827;45192019;44269504;44639724;45180546;45250947;45236207,45016734;45250947;45120025;45016136;45127270;44619715;44139929;44269504;45226530;45178705
rs_300083,usr_1032,"căn hộ Phường Phú Thuận dưới 6.8 tỷ cho vợ chồng mới cưới, 1 phòng ngủ, gần bến xe buýt",1,44342167,45232873;45038070;45246753;45246430;44342167;44781956;45247231;44596902;45227501;45202954,45138568;45268404;44857911;45264249;45260718;43489295;44342167;44964591;45072577;44960399
rs_300084,usr_1032,"căn hộ Phường Phú Thuận dưới 6.8 tỷ cho vợ chồng mới cưới, 1 phòng ngủ, gần bến xe buýt",1,44342167,45232873;45038070;45246753;45246430;44342167;44781956;45247231;44596902;45227501;45202954,45138568;45268404;43489295;44342167;44857911;45264249;45260718;44964591;45072577;44960399
