result_set_id,user_id,session_id,timestamp,algorithm_version,raw_query,inferred_intent,budget_group,filter_district,filter_price_max,filter_bedrooms,listing_id,retrieval_rank,score,matched_features,partial_match_features,llm_chosen,llm_rank,explanation,comparison,model_name
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45224366,8,0.5,near_school,,0,,,,
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45192385,9,0.498,near_school,,0,,,,
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,44531634,0,0.937,near_school|kids_playground,,1,0.0,"Căn hộ tại Phường Tăng Nhơn Phú, 2PN, 59.0m2, giá 2.75 tỷ, chỉ nhỉnh hơn mức trần 2.4 tỷ một chút, đủ tối thiểu 2 phòng ngủ, có gần trường học, sân chơi trẻ em, tiện cho gia đình nhờ công viên, gần bệnh viện.","Khớp nhiều tiện ích ưa thích nhất (gần trường học, sân chơi trẻ em).",claude-agent-rerank
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,44796007,1,0.888,near_school|kids_playground,,0,,,,
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,44422861,2,0.875,near_school|kids_playground,,0,,,,
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,43349917,3,0.854,near_school|kids_playground,,0,,,,
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,43537036,4,0.887,near_school|kids_playground,,0,,,,
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,44967290,5,0.851,near_school|kids_playground,,1,2.0,"Căn hộ tại Phường Tăng Nhơn Phú, 1PN, 31.0m2, giá 1.85 tỷ, giá dưới ngân sách 1.9-2.4 tỷ, tiết kiệm, chưa đạt tối thiểu 2 phòng ngủ, có gần trường học, sân chơi trẻ em, tiện cho gia đình nhờ công viên, gần bệnh viện.",Giá 1.85 tỷ thấp nhất trong nhóm cùng loại Căn hộ.,claude-agent-rerank
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,44626653,6,0.865,near_school|kids_playground,,1,1.0,"Căn hộ tại Phường Tăng Nhơn Phú, 1PN, 51.0m2, giá 2.5 tỷ, chỉ nhỉnh hơn mức trần 2.4 tỷ một chút, chưa đạt tối thiểu 2 phòng ngủ, có gần trường học, sân chơi trẻ em, tiện cho gia đình nhờ công viên, gần bệnh viện.",Đáp ứng tiêu chí gần trường học (ưu tiên hàng đầu) mà nhiều căn khác thiếu.,claude-agent-rerank
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,44046077,7,0.803,near_school|kids_playground,,0,,,,
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,45251894,8,0.497,near_school,,0,,,,
rs_300003,usr_1001,sess_1001_1,2026-01-08T20:37:07Z,claude_rerank_v3,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tăng Nhơn Phú,2.4,2,44953962,9,0.519,near_school,kids_playground~park,0,,,,
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,45235201,0,0.796,near_school|kids_playground|park,,1,0.0,"Căn hộ tại Phường Long Bình, 2PN, 55.0m2, giá 2.99 tỷ (danh sách không có Nhà đất nên đây là lựa chọn khả dụng tốt nhất), nằm trong ngân sách 1.9-3.0 tỷ, đủ tối thiểu 2 phòng ngủ, có gần trường học, sân chơi trẻ em, công viên.","Khớp nhiều tiện ích ưa thích nhất (gần trường học, sân chơi trẻ em, công viên).",claude-agent-rerank
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,45266104,1,0.765,near_school|kids_playground|park,,1,1.0,"Căn hộ tại Phường Long Bình, 2PN, 70.0m2, giá 3.22 tỷ (danh sách không có Nhà đất nên đây là lựa chọn khả dụng tốt nhất), chỉ nhỉnh hơn mức trần 3.0 tỷ một chút, đủ tối thiểu 2 phòng ngủ, có gần trường học, sân chơi trẻ em, công viên.",Đáp ứng tiêu chí gần trường học (ưu tiên hàng đầu) mà nhiều căn khác thiếu.,claude-agent-rerank
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,44404468,2,0.762,near_school|kids_playground|park,,0,,,,
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,43478669,3,0.743,near_school|kids_playground|park,,0,,,,
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,43715977,4,0.746,near_school|kids_playground|park,,0,,,,
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,44403119,5,0.752,near_school|park,kids_playground~park,0,,,,
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,45219182,6,0.727,near_school|park,kids_playground~park,0,,,,
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,44988313,7,0.751,near_school|park,kids_playground~park,1,2.0,"Căn hộ tại Phường Long Bình, 2PN, 44.0m2, giá 2.65 tỷ (danh sách không có Nhà đất nên đây là lựa chọn khả dụng tốt nhất), nằm trong ngân sách 1.9-3.0 tỷ, đủ tối thiểu 2 phòng ngủ, có gần trường học, công viên.","Cân đối giữa giá 2.65 tỷ, 2PN và 44.0m2.",claude-agent-rerank
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,43317425,8,0.732,near_school|park,kids_playground~park,0,,,,
rs_300004,usr_1002,sess_1002_1,2026-04-21T08:31:53Z,claude_rerank_v3,tìm căn hộ Phường Long Bình rẻ một chút tiềm năng tăng giá,investment,affordable,Phường Long Bình,3.0,2,43339881,9,0.713,near_school|park,kids_playground~park,0,,,,
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,45235201,0,0.825,near_school|kids_playground|park,,1,0.0,"Căn hộ tại Phường Long Bình, 2PN, 55.0m2, giá 2.99 tỷ (danh sách không có Nhà đất nên đây là lựa chọn khả dụng tốt nhất), nằm trong ngân sách 1.9-3.0 tỷ, đủ tối thiểu 2 phòng ngủ, có gần trường học, sân chơi trẻ em, công viên.","Khớp nhiều tiện ích ưa thích nhất (gần trường học, sân chơi trẻ em, công viên).",claude-agent-rerank
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,45266104,1,0.801,near_school|kids_playground|park,,1,1.0,"Căn hộ tại Phường Long Bình, 2PN, 70.0m2, giá 3.22 tỷ (danh sách không có Nhà đất nên đây là lựa chọn khả dụng tốt nhất), chỉ nhỉnh hơn mức trần 3.0 tỷ một chút, đủ tối thiểu 2 phòng ngủ, có gần trường học, sân chơi trẻ em, công viên.",Đáp ứng tiêu chí gần trường học (ưu tiên hàng đầu) mà nhiều căn khác thiếu.,claude-agent-rerank
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,44404468,2,0.754,near_school|kids_playground|park,,0,,,,
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,43478669,3,0.778,near_school|kids_playground|park,,0,,,,
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,43715977,4,0.732,near_school|kids_playground|park,,0,,,,
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,44403119,5,0.743,near_school|park,kids_playground~park,0,,,,
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,45219182,6,0.724,near_school|park,kids_playground~park,0,,,,
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,44988313,7,0.727,near_school|park,kids_playground~park,1,2.0,"Căn hộ tại Phường Long Bình, 2PN, 44.0m2, giá 2.65 tỷ (danh sách không có Nhà đất nên đây là lựa chọn khả dụng tốt nhất), nằm trong ngân sách 1.9-3.0 tỷ, đủ tối thiểu 2 phòng ngủ, có gần trường học, công viên.","Cân đối giữa giá 2.65 tỷ, 2PN và 44.0m2.",claude-agent-rerank
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,43317425,8,0.715,near_school|park,kids_playground~park,0,,,,
rs_300005,usr_1002,sess_1002_0,2026-02-23T18:02:27Z,claude_rerank_v3,căn hộ Phường Long Bình bình dân cho thuê lại được,investment,affordable,Phường Long Bình,3.0,2,43339881,9,0.711,near_school|park,kids_playground~park,0,,,,
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,45032480,0,0.617,gym,near_bus~near_metro,1,1.0,"Căn hộ tại Phường An Khánh, 2PN, 66.8m2, giá 5.86 tỷ (danh sách không có Nhà đất nên đây là lựa chọn khả dụng tốt nhất), chỉ nhỉnh hơn mức trần 5.6 tỷ một chút, đủ tối thiểu 1 phòng ngủ, có phòng gym.","Cân đối giữa giá 5.86 tỷ, 2PN và 66.8m2.",claude-agent-rerank
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,45209742,1,0.563,gym,near_bus~near_metro,0,,,,
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,45040477,2,0.57,gym,near_bus~near_metro,0,,,,
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,45040570,3,0.56,gym,near_bus~near_metro,0,,,,
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,43955966,4,0.501,near_bus,,1,0.0,"Nhà đất tại Phường An Khánh, 2PN, 121.0m2, giá 14.5 tỷ, giá cao hơn ngân sách 3.3-5.6 tỷ, đủ tối thiểu 1 phòng ngủ, có gần trạm xe buýt, tiện cho gia đình nhờ gần trường học, gần bệnh viện.",Khớp nhiều tiện ích ưa thích nhất (gần trạm xe buýt).,claude-agent-rerank
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,44137008,5,0.481,,near_bus~near_metro,0,,,,
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,45040121,6,0.514,,,1,2.0,"Căn hộ tại Phường An Khánh, 1PN, 49.5m2, giá 5.3 tỷ (danh sách không có Nhà đất nên đây là lựa chọn khả dụng tốt nhất), nằm trong ngân sách 3.3-5.6 tỷ, đủ tối thiểu 1 phòng ngủ, tiện cho gia đình nhờ gần trường học, công viên, gần bệnh viện.","Cân đối giữa giá 5.3 tỷ, 1PN và 49.5m2.",claude-agent-rerank
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,45040159,7,0.448,,,0,,,,
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,45040043,8,0.433,,,0,,,,
rs_300006,usr_1003,sess_1003_0,2026-04-20T22:12:38Z,claude_rerank_v3,căn hộ Phường An Khánh rẻ một chút cho vợ chồng mới cưới,buy_for_living,mid_range,Phường An Khánh,5.6,1,44959314,9,0.425,gym,near_bus~near_metro,0,,,,
rs_300007,usr_1003,sess_1003_0,2026-04-06T18:05:06Z,claude_rerank_v3,"cần mua nhà đất 4 phòng ngủ ở Phường Phú Định để ở, giá vừa phải",buy_for_living,mid_range,Phường Phú Định,5.6,1,45169945,0,0.687,,,0,,,,
rs_300007,usr_1003,sess_1003_0,2026-04-06T18:05:06Z,claude_rerank_v3,"cần mua nhà đất 4 phòng ngủ ở Phường Phú Định để ở, giá vừa phải",buy_for_living,mid_range,Phường Phú Định,5.6,1,43634809,1,0.676,,,0,,,,
rs_300007,usr_1003,sess_1003_0,2026-04-06T18:05:06Z,claude_rerank_v3,"cần mua nhà đất 4 phòng ngủ ở Phường Phú Định để ở, giá vừa phải",buy_for_living,mid_range,Phường Phú Định,5.6,1,44326273,2,0.68,,,0,,,,
rs_300007,usr_1003,sess_1003_0,2026-04-06T18:05:06Z,claude_rerank_v3,"cần mua nhà đất 4 phòng ngủ ở Phường Phú Định để ở, giá vừa phải",buy_for_living,mid_range,Phường Phú Định,5.6,1,44819431,3,0.705,,,1,0.0,"Nhà đất tại Phường Phú Định, 4PN, 103.0m2, giá 5.28 tỷ, nằm trong ngân sách 3.3-5.6 tỷ, đủ tối thiểu 1 phòng ngủ, tiện cho gia đình nhờ công viên.","Có 4 phòng ngủ, thuộc nhóm nhiều phòng nhất cùng loại.",claude-agent-rerank
rs_300007,usr_1003,sess_1003_0,2026-04-06T18:05:06Z,claude_rerank_v3,"cần mua nhà đất 4 phòng ngủ ở Phường Phú Định để ở, giá vừa phải",buy_for_living,mid_range,Phường Phú Định,5.6,1,44996895,4,0.677,,,0,,,,
rs_300007,usr_1003,sess_1003_0,2026-04-06T18:05:06Z,claude_rerank_v3,"cần mua nhà đất 4 phòng ngủ ở Phường Phú Định để ở, giá vừa phải",buy_for_living,mid_range,Phường Phú Định,5.6,1,45237780,5,0.674,,,1,1.0,"Nhà đất tại Phường Phú Định, 4PN, 40.5m2, giá 4.6 tỷ, nằm trong ngân sách 3.3-5.6 tỷ, đủ tối thiểu 1 phòng ngủ, tiện cho gia đình nhờ gần trường học.","Cân đối giữa giá 4.6 tỷ, 4PN và 40.5m2.",claude-agent-rerank
