listing_id,rank,neighbor_id,score
45076045,1,44899155,2.143
45076045,2,44588604,2.143
45076045,3,43452916,2.143
45076045,4,45136396,2.143
45076045,5,44869947,2.143
44899155,0,43452916,4.0
44899155,1,43683976,3.392
44899155,2,45136396,2.758
44899155,3,44588604,2.391
44899155,4,44869947,2.343
44899155,5,45076045,2.143
44588604,0,43683976,2.391
44588604,1,44899155,2.391
44588604,2,43452916,2.391
44588604,3,45136396,2.391
44588604,4,44869947,2.343
44588604,5,45076045,2.143
43452916,0,44899155,4.0
43452916,1,43683976,3.392
43452916,2,45136396,2.758
43452916,3,44588604,2.391
43452916,4,44869947,2.343
43452916,5,45076045,2.143
45136396,0,43683976,2.758
45136396,1,44899155,2.758
45136396,2,43452916,2.758
45136396,3,44588604,2.391
45136396,4,44869947,2.343
45136396,5,45076045,2.143
44869947,0,43683976,2.343
44869947,1,44899155,2.343
44869947,2,44588604,2.343
44869947,3,43452916,2.343
44869947,4,45136396,2.343
44869947,5,45076045,2.143
