age_group,area,bedrooms,budget_group,id,income,intent,label,name,price,ptype,segment,text
,,,,Amenity:near_hospital,,,Amenity,near_hospital,,,,
,214.0,6,luxury,Listing:44335474,,,Listing,44335474,13.57,Căn hộ,,
,43.5,1,affordable,Listing:45260467,,,Listing,45260467,2.75,Nhà phố,,
,79.8,3,affordable,Listing:45197258,,,Listing,45197258,1.94,Căn hộ,,
,,,,Location:Quận 3,,,Location,Quận 3,,,,
,,,,Amenity:terrace,,,Amenity,terrace,,,,
,223.7,6,luxury,Listing:45059973,,,Listing,45059973,17.45,Căn hộ,,
,,,,Amenity:elevator,,,Amenity,elevator,,,,
,261.7,6,luxury,Listing:45229051,,,Listing,45229051,18.21,Nhà phố,,
,,,,Location:Quận Gò Vấp,,,Location,Quận Gò Vấp,,,,
,52.7,2,mid_range,Listing:45235016,,,Listing,45235016,3.18,Đất nền,,
,75.8,2,affordable,Listing:45232873,,,Listing,45232873,2.78,Căn hộ,,
,,,,Location:Quận 1,,,Location,Quận 1,,,,
,72.4,3,affordable,Listing:44346372,,,Listing,44346372,2.9,Căn hộ,,
,49.5,4,affordable,Listing:45093850,,,Listing,45093850,2.55,Căn hộ,,
,65.7,2,affordable,Listing:44622948,,,Listing,44622948,2.34,Căn hộ,,
,62.9,3,affordable,Listing:44785182,,,Listing,44785182,2.99,Biệt thự,,
,33.3,1,affordable,Listing:44107433,,,Listing,44107433,1.5,Căn hộ,,
,66.2,2,affordable,Listing:44986524,,,Listing,44986524,2.33,Biệt thự,,
,61.1,2,affordable,Listing:45102500,,,Listing,45102500,2.58,Căn hộ,,
,135.2,4,mid_range,Listing:45189967,,,Listing,45189967,7.95,Căn hộ,,
,36.0,2,affordable,Listing:44848669,,,Listing,44848669,1.28,Căn hộ,,
,,,,Location:Phường An Phú,,,Location,Phường An Phú,,,,
,114.4,4,mid_range,Listing:43919030,,,Listing,43919030,5.42,Căn hộ,,
,,,,Location:Quận 4,,,Location,Quận 4,,,,
,69.6,1,affordable,Listing:45162235,,,Listing,45162235,2.48,Căn hộ,,
,44.8,2,affordable,Listing:44845494,,,Listing,44845494,2.03,Căn hộ,,
,,,,Location:Phường Dĩ An,,,Location,Phường Dĩ An,,,,
,396.6,6,luxury,Listing:44984592,,,Listing,44984592,29.77,Đất nền,,
,,,,Location:Quận Thủ Đức,,,Location,Quận Thủ Đức,,,,
,64.7,2,affordable,Listing:45038070,,,Listing,45038070,2.56,Căn hộ,,
,72.3,1,affordable,Listing:44691569,,,Listing,44691569,2.28,Nhà phố,,
,66.2,1,affordable,Listing:44868190,,,Listing,44868190,1.66,Nhà phố,,
,62.4,2,affordable,Listing:44063983,,,Listing,44063983,2.28,Căn hộ,,
,48.9,3,affordable,Listing:42561310,,,Listing,42561310,1.74,Căn hộ,,
,51.7,2,affordable,Listing:43923505,,,Listing,43923505,2.88,Nhà phố,,
,,,,Location:Phường Long Bình,,,Location,Phường Long Bình,,,,
,122.9,1,mid_range,Listing:45255963,,,Listing,45255963,4.21,Căn hộ,,
,68.8,2,affordable,Listing:44742356,,,Listing,44742356,2.27,Căn hộ,,
,63.5,1,affordable,Listing:45245173,,,Listing,45245173,1.7,Biệt thự,,
,113.0,4,mid_range,Listing:43317425,,,Listing,43317425,5.15,Căn hộ,,
,100.9,4,mid_range,Listing:44734124,,,Listing,44734124,5.31,Căn hộ,,
,41.9,1,affordable,Listing:44748012,,,Listing,44748012,1.97,Đất nền,,
,85.2,1,affordable,Listing:44107369,,,Listing,44107369,2.94,Nhà phố,,
,61.7,1,mid_range,Listing:45246753,,,Listing,45246753,3.39,Căn hộ,,
,120.3,6,mid_range,Listing:45161272,,,Listing,45161272,7.06,Nhà phố,,
,199.9,6,luxury,Listing:45149520,,,Listing,45149520,13.15,Căn hộ,,
,92.6,2,mid_range,Listing:45246430,,,Listing,45246430,5.88,Nhà phố,,
,128.3,4,mid_range,Listing:43241856,,,Listing,43241856,6.83,Căn hộ,,
,89.4,3,mid_range,Listing:44756510,,,Listing,44756510,4.93,Biệt thự,,
,,,,Location:Phường Hiệp Bình,,,Location,Phường Hiệp Bình,,,,
,70.5,4,mid_range,Listing:39130038,,,Listing,39130038,5.4,Căn hộ,,
,40.8,2,affordable,Listing:43589492,,,Listing,43589492,1.24,Nhà phố,,
,64.7,0,affordable,Listing:45113783,,,Listing,45113783,1.42,Nhà phố,,
,70.7,2,affordable,Listing:44525010,,,Listing,44525010,1.34,Nhà phố,,
,125.5,3,mid_range,Listing:44342167,,,Listing,44342167,6.95,Căn hộ,,
,370.8,6,luxury,Listing:44333099,,,Listing,44333099,28.17,Đất nền,,
,295.9,6,luxury,Listing:44860127,,,Listing,44860127,21.87,Căn hộ,,
,87.8,2,affordable,Listing:44282818,,,Listing,44282818,2.8,Đất nền,,
,48.8,2,affordable,Listing:43960856,,,Listing,43960856,2.09,Căn hộ,,
,107.5,5,mid_range,Listing:44193699,,,Listing,44193699,5.04,Căn hộ,,
,44.3,2,affordable,Listing:45104453,,,Listing,45104453,1.22,Căn hộ,,
,53.5,2,affordable,Listing:43321672,,,Listing,43321672,1.68,Nhà phố,,
,59.8,0,affordable,Listing:44870935,,,Listing,44870935,1.56,Căn hộ,,
,47.1,3,affordable,Listing:44171872,,,Listing,44171872,2.49,Nhà phố,,
,67.9,2,affordable,Listing:45027560,,,Listing,45027560,2.82,Căn hộ,,
,54.9,1,affordable,Listing:45245637,,,Listing,45245637,1.86,Căn hộ,,
,48.7,2,affordable,Listing:45266104,,,Listing,45266104,1.4,Căn hộ,,
,58.9,3,affordable,Listing:44483330,,,Listing,44483330,2.43,Nhà phố,,
,232.2,6,luxury,Listing:44708914,,,Listing,44708914,16.28,Căn hộ,,
,76.7,2,affordable,Listing:43797634,,,Listing,43797634,2.96,Căn hộ,,
,66.5,2,affordable,Listing:44590405,,,Listing,44590405,2.76,Căn hộ,,
,257.3,6,luxury,Listing:45014857,,,Listing,45014857,19.44,Đất nền,,
,62.3,2,affordable,Listing:43959995,,,Listing,43959995,2.86,Căn hộ,,
,56.6,2,affordable,Listing:39770672,,,Listing,39770672,2.7,Nhà phố,,
,113.8,1,mid_range,Listing:44331203,,,Listing,44331203,5.32,Căn hộ,,
,225.5,6,luxury,Listing:45244830,,,Listing,45244830,16.0,Nhà phố,,
,58.2,1,mid_range,Listing:43682719,,,Listing,43682719,3.04,Căn hộ,,
,37.9,4,affordable,Listing:44133946,,,Listing,44133946,2.44,Căn hộ,,
,58.6,1,affordable,Listing:44526324,,,Listing,44526324,2.84,Nhà phố,,
,54.0,1,affordable,Listing:45042172,,,Listing,45042172,2.61,Nhà phố,,
,53.2,2,affordable,Listing:44290256,,,Listing,44290256,1.4,Căn hộ,,
,62.7,2,affordable,Listing:44732031,,,Listing,44732031,2.99,Căn hộ,,
,77.2,3,affordable,Listing:45165004,,,Listing,45165004,2.3,Nhà phố,,
,120.3,4,mid_range,Listing:45265733,,,Listing,45265733,5.53,Căn hộ,,
,60.9,2,affordable,Listing:44468549,,,Listing,44468549,2.96,Nhà phố,,
,73.6,3,mid_range,Listing:44456588,,,Listing,44456588,4.32,Nhà phố,,
,55.3,1,affordable,Listing:45084822,,,Listing,45084822,1.35,Nhà phố,,
,43.2,3,affordable,Listing:44730914,,,Listing,44730914,2.24,Căn hộ,,
,53.1,1,affordable,Listing:44888200,,,Listing,44888200,1.58,Đất nền,,
,96.9,4,affordable,Listing:43537623,,,Listing,43537623,2.17,Căn hộ,,
,75.5,2,affordable,Listing:45254034,,,Listing,45254034,1.98,Nhà phố,,
,108.3,3,mid_range,Listing:43356438,,,Listing,43356438,4.53,Đất nền,,
,96.0,3,affordable,Listing:44048727,,,Listing,44048727,2.88,Nhà phố,,
,20.0,3,affordable,Listing:45248206,,,Listing,45248206,1.69,Căn hộ,,
,63.5,3,mid_range,Listing:45032480,,,Listing,45032480,3.32,Đất nền,,
,58.8,2,affordable,Listing:45250823,,,Listing,45250823,2.29,Căn hộ,,
,243.8,6,luxury,Listing:44713493,,,Listing,44713493,16.12,Căn hộ,,
,102.6,4,mid_range,Listing:44397902,,,Listing,44397902,6.21,Căn hộ,,
,82.3,1,mid_range,Listing:45209742,,,Listing,45209742,4.14,Căn hộ,,
,66.1,2,affordable,Listing:43247491,,,Listing,43247491,2.43,Biệt thự,,
,54.2,3,affordable,Listing:43238060,,,Listing,43238060,1.4,Đất nền,,
,107.2,3,mid_range,Listing:41321808,,,Listing,41321808,5.5,Nhà phố,,
,73.8,0,affordable,Listing:45248655,,,Listing,45248655,1.95,Căn hộ,,
,57.3,2,affordable,Listing:43436120,,,Listing,43436120,2.94,Nhà phố,,
,50.6,2,affordable,Listing:45153972,,,Listing,45153972,1.89,Căn hộ,,
,114.9,5,mid_range,Listing:45110391,,,Listing,45110391,6.27,Căn hộ,,
,184.3,6,luxury,Listing:44284175,,,Listing,44284175,12.42,Căn hộ,,
,76.4,1,affordable,Listing:44350831,,,Listing,44350831,2.67,Nhà phố,,
,63.6,3,affordable,Listing:44843875,,,Listing,44843875,2.81,Căn hộ,,
,220.1,6,luxury,Listing:45088647,,,Listing,45088647,13.84,Nhà phố,,
,346.3,6,luxury,Listing:43403469,,,Listing,43403469,27.4,Căn hộ,,
,73.1,4,mid_range,Listing:44791321,,,Listing,44791321,5.34,Căn hộ,,
,48.8,2,affordable,Listing:44286055,,,Listing,44286055,1.5,Căn hộ,,
,70.1,2,affordable,Listing:44043317,,,Listing,44043317,2.5,Nhà phố,,
,80.6,1,affordable,Listing:45056277,,,Listing,45056277,2.41,Căn hộ,,
,77.6,2,affordable,Listing:44729361,,,Listing,44729361,1.28,Căn hộ,,
,66.7,3,affordable,Listing:44288363,,,Listing,44288363,2.67,Căn hộ,,
,52.7,3,affordable,Listing:43883712,,,Listing,43883712,2.86,Đất nền,,
,123.1,4,mid_range,Listing:44283417,,,Listing,44283417,6.92,Căn hộ,,
,77.1,1,mid_range,Listing:43572439,,,Listing,43572439,3.13,Nhà phố,,
,46.9,0,affordable,Listing:45257289,,,Listing,45257289,1.42,Nhà phố,,
,57.0,2,affordable,Listing:43716231,,,Listing,43716231,1.24,Nhà phố,,
,40.2,2,affordable,Listing:45261874,,,Listing,45261874,1.99,Nhà phố,,
,89.6,4,affordable,Listing:44077565,,,Listing,44077565,2.04,Nhà phố,,
,326.3,6,luxury,Listing:43569738,,,Listing,43569738,24.0,Nhà phố,,
,104.5,5,mid_range,Listing:44034581,,,Listing,44034581,3.41,Đất nền,,
,71.9,5,affordable,Listing:45262776,,,Listing,45262776,1.92,Căn hộ,,
,96.6,2,mid_range,Listing:44881140,,,Listing,44881140,5.55,Căn hộ,,
,146.3,4,mid_range,Listing:45263106,,,Listing,45263106,6.66,Căn hộ,,
,103.8,4,mid_range,Listing:43866123,,,Listing,43866123,7.5,Căn hộ,,
,63.7,1,affordable,Listing:45263202,,,Listing,45263202,2.35,Nhà phố,,
,37.4,2,affordable,Listing:43492362,,,Listing,43492362,1.94,Nhà phố,,
,77.9,1,affordable,Listing:44073845,,,Listing,44073845,2.47,Đất nền,,
,48.1,2,affordable,Listing:43478669,,,Listing,43478669,2.36,Căn hộ,,
,38.8,4,affordable,Listing:44872651,,,Listing,44872651,2.03,Đất nền,,
,76.5,1,affordable,Listing:43692251,,,Listing,43692251,2.81,Căn hộ,,
,54.1,1,affordable,Listing:43693290,,,Listing,43693290,2.4,Căn hộ,,
,70.5,2,affordable,Listing:45081962,,,Listing,45081962,2.85,Căn hộ,,
,54.0,2,affordable,Listing:43284841,,,Listing,43284841,1.27,Nhà phố,,
,49.7,2,affordable,Listing:42521719,,,Listing,42521719,2.81,Căn hộ,,
,67.6,1,affordable,Listing:45040477,,,Listing,45040477,2.29,Căn hộ,,
,39.9,2,affordable,Listing:44049181,,,Listing,44049181,1.3,Căn hộ,,
,49.4,1,affordable,Listing:44781792,,,Listing,44781792,1.47,Căn hộ,,
,116.3,5,luxury,Listing:44781667,,,Listing,44781667,8.91,Nhà phố,,
,119.6,4,mid_range,Listing:44400867,,,Listing,44400867,4.26,Căn hộ,,
,65.6,2,affordable,Listing:44880200,,,Listing,44880200,2.92,Nhà phố,,
,59.0,0,affordable,Listing:44762845,,,Listing,44762845,1.51,Nhà phố,,
,87.5,2,affordable,Listing:45162231,,,Listing,45162231,2.46,Nhà phố,,
,331.9,6,luxury,Listing:44864335,,,Listing,44864335,23.6,Căn hộ,,
,50.5,3,affordable,Listing:44948688,,,Listing,44948688,1.55,Căn hộ,,
,37.4,1,affordable,Listing:44897223,,,Listing,44897223,1.28,Đất nền,,
,58.0,2,affordable,Listing:44729464,,,Listing,44729464,1.83,Căn hộ,,
,89.6,3,mid_range,Listing:45040570,,,Listing,45040570,4.83,Nhà phố,,
,40.4,2,affordable,Listing:44282741,,,Listing,44282741,2.08,Căn hộ,,
,89.8,2,affordable,Listing:44239561,,,Listing,44239561,2.27,Đất nền,,
,100.5,3,mid_range,Listing:45148629,,,Listing,45148629,5.53,Căn hộ,,
,53.6,2,affordable,Listing:45237880,,,Listing,45237880,1.78,Biệt thự,,
,48.5,3,mid_range,Listing:45165437,,,Listing,45165437,3.03,Căn hộ,,
,108.2,3,mid_range,Listing:43211541,,,Listing,43211541,4.53,Đất nền,,
,69.0,4,affordable,Listing:44210257,,,Listing,44210257,2.73,Căn hộ,,
,125.1,6,luxury,Listing:43452836,,,Listing,43452836,8.5,Căn hộ,,
,62.1,2,affordable,Listing:44273779,,,Listing,44273779,2.62,Nhà phố,,
,91.5,6,mid_range,Listing:44484541,,,Listing,44484541,5.84,Căn hộ,,
,44.9,1,affordable,Listing:44657659,,,Listing,44657659,1.2,Căn hộ,,
,64.3,4,affordable,Listing:44656554,,,Listing,44656554,2.75,Căn hộ,,
,90.6,3,mid_range,Listing:45199130,,,Listing,45199130,4.21,Đất nền,,
,51.4,2,affordable,Listing:43927551,,,Listing,43927551,1.58,Căn hộ,,
,199.0,6,luxury,Listing:44586268,,,Listing,44586268,14.2,Căn hộ,,
,47.8,3,mid_range,Listing:36221753,,,Listing,36221753,3.64,Nhà phố,,
,45.6,2,affordable,Listing:40340780,,,Listing,40340780,2.47,Căn hộ,,
,62.2,1,affordable,Listing:44825273,,,Listing,44825273,2.09,Biệt thự,,
,63.4,2,affordable,Listing:43849134,,,Listing,43849134,2.02,Căn hộ,,
,69.6,1,affordable,Listing:44731068,,,Listing,44731068,2.15,Nhà phố,,
,73.2,3,affordable,Listing:43344418,,,Listing,43344418,1.32,Căn hộ,,
,55.5,4,affordable,Listing:43572792,,,Listing,43572792,2.43,Căn hộ,,
,131.2,4,mid_range,Listing:44922077,,,Listing,44922077,7.3,Căn hộ,,
,196.5,6,luxury,Listing:44957828,,,Listing,44957828,12.37,Căn hộ,,
,104.3,3,mid_range,Listing:43202640,,,Listing,43202640,3.59,Nhà phố,,
,71.1,1,affordable,Listing:43696637,,,Listing,43696637,1.56,Căn hộ,,
,61.3,1,affordable,Listing:45017137,,,Listing,45017137,2.68,Căn hộ,,
,70.6,3,mid_range,Listing:45194899,,,Listing,45194899,4.13,Căn hộ,,
,78.0,3,affordable,Listing:45235813,,,Listing,45235813,2.04,Biệt thự,,
,186.5,6,luxury,Listing:43963943,,,Listing,43963943,12.2,Căn hộ,,
,56.3,3,affordable,Listing:45100589,,,Listing,45100589,1.85,Biệt thự,,
,65.5,2,affordable,Listing:42218073,,,Listing,42218073,2.56,Căn hộ,,
,100.8,4,mid_range,Listing:44753361,,,Listing,44753361,4.85,Căn hộ,,
,248.4,6,luxury,Listing:44863961,,,Listing,44863961,16.77,Căn hộ,,
,91.2,1,affordable,Listing:45057652,,,Listing,45057652,2.47,Đất nền,,
,90.8,3,affordable,Listing:45186771,,,Listing,45186771,2.85,Đất nền,,
,73.6,2,affordable,Listing:44781956,,,Listing,44781956,2.38,Biệt thự,,
,318.7,6,luxury,Listing:45247231,,,Listing,45247231,22.08,Nhà phố,,
,39.6,1,affordable,Listing:44596035,,,Listing,44596035,1.27,Căn hộ,,
,65.0,3,affordable,Listing:44729161,,,Listing,44729161,1.62,Biệt thự,,
,79.2,2,affordable,Listing:44568353,,,Listing,44568353,2.55,Căn hộ,,
,75.7,3,affordable,Listing:44530340,,,Listing,44530340,2.5,Biệt thự,,
,83.9,5,mid_range,Listing:43481818,,,Listing,43481818,6.92,Nhà phố,,
,85.1,2,affordable,Listing:45245632,,,Listing,45245632,1.53,Nhà phố,,
,60.3,0,affordable,Listing:44956559,,,Listing,44956559,2.06,Căn hộ,,
,103.4,5,mid_range,Listing:45244476,,,Listing,45244476,5.2,Đất nền,,
,161.9,6,luxury,Listing:45106401,,,Listing,45106401,11.12,Đất nền,,
,90.1,6,mid_range,Listing:43652465,,,Listing,43652465,5.27,Căn hộ,,
,57.4,3,affordable,Listing:44199099,,,Listing,44199099,2.63,Căn hộ,,
,50.5,2,affordable,Listing:45132364,,,Listing,45132364,2.82,Căn hộ,,
,108.6,2,mid_range,Listing:44591760,,,Listing,44591760,5.2,Căn hộ,,
,87.0,1,affordable,Listing:45063282,,,Listing,45063282,1.81,Căn hộ,,
,59.1,1,mid_range,Listing:45244194,,,Listing,45244194,3.32,Căn hộ,,
,58.6,3,affordable,Listing:45240822,,,Listing,45240822,2.93,Nhà phố,,
,41.3,0,affordable,Listing:43605480,,,Listing,43605480,1.27,Căn hộ,,
,43.7,1,affordable,Listing:45025864,,,Listing,45025864,1.92,Căn hộ,,
,30.9,1,affordable,Listing:45240735,,,Listing,45240735,1.45,Đất nền,,
,211.4,6,luxury,Listing:44715266,,,Listing,44715266,13.25,Căn hộ,,
,79.9,2,affordable,Listing:44016214,,,Listing,44016214,2.93,Căn hộ,,
,69.2,2,affordable,Listing:44690504,,,Listing,44690504,2.75,Nhà phố,,
,53.1,0,affordable,Listing:44877318,,,Listing,44877318,2.22,Đất nền,,
,33.7,2,affordable,Listing:44840033,,,Listing,44840033,1.21,Căn hộ,,
,68.3,3,affordable,Listing:43940956,,,Listing,43940956,2.63,Căn hộ,,
,59.7,3,affordable,Listing:45173212,,,Listing,45173212,1.95,Căn hộ,,
,73.3,3,affordable,Listing:44130737,,,Listing,44130737,2.81,Căn hộ,,
,197.2,6,luxury,Listing:45229622,,,Listing,45229622,14.78,Căn hộ,,
,54.6,3,mid_range,Listing:44464667,,,Listing,44464667,3.23,Căn hộ,,
,90.0,3,mid_range,Listing:44870654,,,Listing,44870654,4.67,Căn hộ,,
,53.4,2,affordable,Listing:43146761,,,Listing,43146761,1.78,Căn hộ,,
,69.4,1,affordable,Listing:43768536,,,Listing,43768536,1.49,Căn hộ,,
,43.9,1,affordable,Listing:43161489,,,Listing,43161489,1.61,Căn hộ,,
,90.6,2,affordable,Listing:45187377,,,Listing,45187377,2.95,Căn hộ,,
,79.3,2,affordable,Listing:45240205,,,Listing,45240205,1.78,Căn hộ,,
,101.0,4,mid_range,Listing:43756300,,,Listing,43756300,5.22,Căn hộ,,
,56.2,3,affordable,Listing:44816319,,,Listing,44816319,2.08,Căn hộ,,
,44.7,2,affordable,Listing:43748419,,,Listing,43748419,1.48,Nhà phố,,
,55.6,2,affordable,Listing:45229939,,,Listing,45229939,1.98,Căn hộ,,
,61.4,2,affordable,Listing:43693887,,,Listing,43693887,1.76,Biệt thự,,
,56.1,2,affordable,Listing:44700316,,,Listing,44700316,2.37,Nhà phố,,
,32.0,4,affordable,Listing:44815299,,,Listing,44815299,2.59,Biệt thự,,
,47.3,3,affordable,Listing:44516802,,,Listing,44516802,1.69,Căn hộ,,
,49.1,2,affordable,Listing:44464713,,,Listing,44464713,1.9,Căn hộ,,
,70.3,1,affordable,Listing:44740670,,,Listing,44740670,2.45,Căn hộ,,
,233.2,6,luxury,Listing:44723700,,,Listing,44723700,16.82,Căn hộ,,
,81.6,2,affordable,Listing:45032566,,,Listing,45032566,2.59,Căn hộ,,
,57.9,0,affordable,Listing:34061984,,,Listing,34061984,1.87,Căn hộ,,
,97.5,5,mid_range,Listing:43203408,,,Listing,43203408,6.03,Căn hộ,,
,76.9,2,affordable,Listing:45014980,,,Listing,45014980,2.45,Nhà phố,,
,122.1,4,mid_range,Listing:45016308,,,Listing,45016308,6.49,Căn hộ,,
,95.8,4,mid_range,Listing:44659061,,,Listing,44659061,4.46,Nhà phố,,
,63.3,1,affordable,Listing:45235201,,,Listing,45235201,2.04,Nhà phố,,
,207.9,6,luxury,Listing:45236710,,,Listing,45236710,15.19,Căn hộ,,
,95.4,6,mid_range,Listing:45236270,,,Listing,45236270,7.07,Đất nền,,
,69.2,4,affordable,Listing:43548457,,,Listing,43548457,2.63,Đất nền,,
,55.9,1,affordable,Listing:45234636,,,Listing,45234636,1.36,Biệt thự,,
,73.3,2,affordable,Listing:45234641,,,Listing,45234641,2.02,Nhà phố,,
,52.8,2,affordable,Listing:43228481,,,Listing,43228481,2.41,Căn hộ,,
,70.6,3,affordable,Listing:40990762,,,Listing,40990762,2.84,Căn hộ,,
,36.6,3,affordable,Listing:45196185,,,Listing,45196185,2.09,Nhà phố,,
,50.2,2,affordable,Listing:45155260,,,Listing,45155260,2.43,Căn hộ,,
,40.1,1,affordable,Listing:45222811,,,Listing,45222811,2.81,Căn hộ,,
,52.3,1,affordable,Listing:44902020,,,Listing,44902020,2.03,Căn hộ,,
,84.2,2,affordable,Listing:44887604,,,Listing,44887604,2.41,Căn hộ,,
,54.5,0,affordable,Listing:43779678,,,Listing,43779678,1.6,Nhà phố,,
,202.4,6,luxury,Listing:44143992,,,Listing,44143992,15.3,Căn hộ,,
,36.7,1,affordable,Listing:45010170,,,Listing,45010170,1.7,Nhà phố,,
,81.9,2,affordable,Listing:44532012,,,Listing,44532012,2.31,Đất nền,,
,49.8,1,affordable,Listing:43863458,,,Listing,43863458,1.24,Căn hộ,,
,46.8,1,affordable,Listing:43874379,,,Listing,43874379,1.36,Căn hộ,,
,75.8,1,affordable,Listing:45039157,,,Listing,45039157,1.82,Nhà phố,,
,247.2,6,luxury,Listing:43725380,,,Listing,43725380,17.89,Căn hộ,,
,83.1,2,affordable,Listing:44531634,,,Listing,44531634,2.53,Căn hộ,,
,93.3,2,affordable,Listing:44241249,,,Listing,44241249,1.92,Căn hộ,,
,394.3,6,luxury,Listing:45229457,,,Listing,45229457,29.65,Căn hộ,,
,78.8,2,mid_range,Listing:45151230,,,Listing,45151230,3.56,Biệt thự,,
,73.6,1,affordable,Listing:44841772,,,Listing,44841772,2.76,Căn hộ,,
,160.2,6,luxury,Listing:44845848,,,Listing,44845848,12.39,Căn hộ,,
,86.8,2,mid_range,Listing:45197810,,,Listing,45197810,3.76,Biệt thự,,
,70.6,2,affordable,Listing:45081807,,,Listing,45081807,2.43,Căn hộ,,
,101.0,3,mid_range,Listing:45210622,,,Listing,45210622,3.18,Căn hộ,,
,83.3,4,affordable,Listing:45228435,,,Listing,45228435,2.73,Căn hộ,,
,88.4,5,mid_range,Listing:44450031,,,Listing,44450031,4.97,Đất nền,,
,79.1,0,affordable,Listing:44612137,,,Listing,44612137,2.1,Đất nền,,
,71.4,3,mid_range,Listing:44596902,,,Listing,44596902,4.6,Đất nền,,
,50.1,2,affordable,Listing:43284831,,,Listing,43284831,2.03,Căn hộ,,
,46.7,2,affordable,Listing:45138926,,,Listing,45138926,1.23,Nhà phố,,
,47.1,3,affordable,Listing:45057690,,,Listing,45057690,2.47,Nhà phố,,
,56.9,3,affordable,Listing:44482148,,,Listing,44482148,2.42,Căn hộ,,
,76.4,1,affordable,Listing:45227501,,,Listing,45227501,1.7,Căn hộ,,
,78.4,2,affordable,Listing:44137008,,,Listing,44137008,2.81,Nhà phố,,
,46.2,1,affordable,Listing:42091112,,,Listing,42091112,1.59,Nhà phố,,
,83.0,1,affordable,Listing:44714707,,,Listing,44714707,1.7,Căn hộ,,
,366.5,6,luxury,Listing:45223376,,,Listing,45223376,27.99,Căn hộ,,
,62.1,0,affordable,Listing:45202954,,,Listing,45202954,1.86,Căn hộ,,
,117.8,4,mid_range,Listing:44894510,,,Listing,44894510,7.37,Căn hộ,,
,39.2,2,affordable,Listing:45202949,,,Listing,45202949,1.85,Nhà phố,,
,54.7,2,affordable,Listing:44552020,,,Listing,44552020,1.38,Đất nền,,
,55.7,2,affordable,Listing:45202945,,,Listing,45202945,1.98,Nhà phố,,
,29.4,1,affordable,Listing:44849133,,,Listing,44849133,1.52,Biệt thự,,
,64.0,1,affordable,Listing:45175379,,,Listing,45175379,1.47,Căn hộ,,
,52.9,3,affordable,Listing:44150180,,,Listing,44150180,2.59,Đất nền,,
,74.5,2,affordable,Listing:43845012,,,Listing,43845012,2.88,Nhà phố,,
,40.5,3,affordable,Listing:44967290,,,Listing,44967290,1.73,Nhà phố,,
,64.7,2,affordable,Listing:43513035,,,Listing,43513035,1.96,Căn hộ,,
,55.9,3,affordable,Listing:45059343,,,Listing,45059343,2.72,Căn hộ,,
,55.4,3,affordable,Listing:44404341,,,Listing,44404341,1.33,Căn hộ,,
,85.6,4,mid_range,Listing:44404628,,,Listing,44404628,5.61,Căn hộ,,
,88.5,2,mid_range,Listing:44697172,,,Listing,44697172,3.8,Nhà phố,,
,61.5,1,affordable,Listing:44406217,,,Listing,44406217,1.82,Nhà phố,,
,99.0,3,mid_range,Listing:44404468,,,Listing,44404468,6.48,Nhà phố,,
,104.7,4,mid_range,Listing:45019830,,,Listing,45019830,5.95,Nhà phố,,
,133.4,4,mid_range,Listing:44403119,,,Listing,44403119,7.0,Căn hộ,,
,50.3,2,affordable,Listing:45189689,,,Listing,45189689,2.93,Nhà phố,,
,64.1,5,mid_range,Listing:45220208,,,Listing,45220208,4.01,Căn hộ,,
,73.4,2,affordable,Listing:41811080,,,Listing,41811080,2.39,Căn hộ,,
